Category Name,``$CAT-TECHNOLOGY$``,Description,Data Source,Hyperlink,Notes,Operational Life,Power Plant,Renewable Energy Technology,Technology from Storage,Technology to Storage,``$CAT-FUEL$``,``$CAT-STORAGE$``
Power Generation - Biogas,``pp_biogas``,"Waste generation from gas collected from landfills, wastewater treatment plants, and livestock manure anaerobic digesters. ", | Operational lifetime assumption: `Fusi et al. (2016)  <https://www.frontiersin.org/articles/10.3389/fbioe.2016.00026/full#B52>`_,,,20,1,1,none,``st_batteries``|``st_compressed_air``|``st_flywheels``,``fuel_biogas``,none
Power Generation - Biomass,``pp_biomass``,Biomass power plants, | Operational lifetime assumption: `NREL <https://www.nrel.gov/analysis/tech-footprint.html>`_,,,25,1,0,none,none,``fuel_biomass``,none
Power Generation - Coal,``pp_coal``,Coal fired power plants, | Operational lifetime assumption: `Nature <https://www.nature.com/articles/s41467-019-12618-3>`_,,,50,1,0,none,none,``fuel_coal``,none
Power Generation - Gas,``pp_gas``,"Natural gas power plants, including combined cycle, combustion turbine, and internal combustion engine generation technologies.", | Operational lifetime assumption: `EIA <https://www.eia.gov/todayinenergy/detail.php?id=34172>`_,,,25,1,0,none,none,``fuel_natural_gas``,none
Power Generation - Geothermal,``pp_geothermal``,Geotherml power plants, | Operational lifetime assumption: `Geothermal Energy Journal <https://geothermal-energy-journal.springeropen.com/articles/10.1186/s40517-021-00183-2>`_,,,30,1,1,none,``st_batteries``|``st_compressed_air``|``st_flywheels``,``fuel_geothermal``,none
Power Generation - Hydropower,``pp_hydropower``,Hydropower power plants, | Operational lifetime assumption: `NREL <https://www.nrel.gov/docs/fy04osti/34916.pdf>`_,,,100,1,1,none,``st_batteries``|``st_compressed_air``|``st_flywheels``,``fuel_hydropower``,none
Power Generation - Nuclear,``pp_nuclear``,Nuclear (fission) power plants, | Operational lifetime assumption: `IAEA <https://www.iaea.org/sites/default/files/29402043133.pdf>`_,,,30,1,0,none,none,``fuel_nuclear``,none
Power Generation - Ocean,``pp_ocean``,Energy derived from thermal and kinetic energy in ocean waters.,,,,25,1,1,none,``st_batteries``|``st_compressed_air``|``st_flywheels``,``fuel_ocean``,none
Power Generation - Oil,``pp_oil``,Oil power plants,,,,40,1,0,none,none,``fuel_oil``,none
Power Generation - Solar,``pp_solar``,Solar (photovoltaic) power plants, | Operational lifetime assumption: `US DOE EERE <https://www.energy.gov/eere/solar/end-life-management-solar-photovoltaics>`_,,,30,1,1,none,``st_batteries``|``st_compressed_air``|``st_flywheels``,``fuel_solar``,none
Storage - Batteries,``st_batteries``,Battery storage,,,,40,0,0,``st_batteries``,``st_batteries``,none,``st_batteries``
Storage - Compressed Air,``st_compressed_air``,Compressed air storage,,,,40,0,0,``st_compressed_air``,``st_compressed_air``,none,``st_compressed_air``
Storage - Flywheels,``st_flywheels``,Storage in flywheels,,,,40,0,0,``st_flywheels``,``st_flywheels``,none,``st_flywheels``
Power Generation - Waste Incineration,``pp_waste_incineration``,Treatment from waste incineration, | Operational lifetime assumption: `World Bank <https://olcstage.worldbank.org/sites/default/files/sco/E9CB337D-79D8-EAF4-44EE-AF3A7ADADADF/swm_m03/story_content/external_files/DMG_Incineration.pdf>`_,,,25,1,0,none,none,``fuel_waste``,none
Power Generation - Wind,``pp_wind``,"Wind power plants, both on- and off-shore"," | Operational lifetime assumption: `EPA <https://nepis.epa.gov/Exe/tiff2png.cgi/P100IL8L.PNG?-r+75+-g+7+-h+12,3,5+D%3A%5CZYFILES%5CINDEX%20DATA%5C11THRU15%5CTIFF%5C00000661%5CP100IL8L.TIF>`_",,,20,1,1,none,``st_batteries``|``st_compressed_air``|``st_flywheels``,``fuel_wind``,none
