Variable Type,Variable,Information,Variable Schema,Dashboard,Notes,Data Link,Reference,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,,``$CAT-FUEL$``
Input,Annual Capture and Sequestration by Type,,"``qty_ccsq_$UNIT-MASS$_$EMISSION-GAS$_captured_sequestered_by_$CAT-CCSQ$`` (``$EMISSION-GAS$ = co2``, ``$UNIT-MASS$ = mt``)",,,,,,0,1,1,none
Input,CCSQ Efficiency Factor for Heat Energy from Geothermal,"Energy efficiency factor for geothermal Heat Energy. For example, value of 0.99 indicates that 99% of input energy results in output energy at point of use.",``efficfactor_ccsq_heat_energy_$CAT-CCSQ$_geothermal``,,,,,,0,1,1,``fuel_geothermal``
Input,CCSQ Efficiency Factor for Heat Energy from Hydrogen,"Energy efficiency factor for hydrogen Heat Energy. For example, value of 0.8 indicates that 80% of input energy results in output energy at point of use.",``efficfactor_ccsq_heat_energy_$CAT-CCSQ$_hydrogen``,,,,,,0,1,1,``fuel_hydrogen``
Input,CCSQ Efficiency Factor for Heat Energy from Natural Gas,"Energy efficiency factor for natural gas Heat Energy. For example, value of 0.8 indicates that 80% of input energy results in output energy at point of use.",``efficfactor_ccsq_heat_energy_$CAT-CCSQ$_natural_gas``,,,,,,0,1,1,``fuel_natural_gas``
Input,CCSQ Energy Demand Per Mass of :math:`\text{CO}_2` Captured,,"``energy_intensity_ccsq_$CAT-CCSQ$_$UNIT-ENERGY$_per_$UNIT-MASS$_$EMISSION-GAS$`` (``$EMISSION-GAS$ = co2``, ``$UNIT-ENERGY$ = gj``, ``$UNIT-MASS$ = tonne``)",," | See the `World Resources Institute <https://www.wri.org/insights/direct-air-capture-resource-considerations-and-costs-carbon-removal>_` for information on direct air capture.
 | 
 | See etc.",,,,1,1,1,none
Input,CCSQ Fraction Energy Electricity,Fraction of total energy demand required to operate ``$CAT-CCSQ$`` in electric energy.,``frac_ccsq_energydem_$CAT-CCSQ$_electricity``,,,,,,0,1,1,none
Input,CCSQ Fraction Energy Heat,Fraction of total energy demand required to operate ``$CAT-CCSQ$`` in heat energy.,``frac_ccsq_energydem_$CAT-CCSQ$_heat``,,,,,,0,1,1,none
Input,CCSQ Fraction Heat Energy Demand Geothermal,Fraction of Heat Energy demand provided by geothermal energy,``frac_ccsq_heat_energy_$CAT-CCSQ$_geothermal``,,,,,,0,1,1,``fuel_geothermal``
Input,CCSQ Fraction Heat Energy Demand Hydrogen,Fraction of Heat Energy demand provided by hydrogen,``frac_ccsq_heat_energy_$CAT-CCSQ$_hydrogen``,,,,,,0,1,1,``fuel_hydrogen``
Input,CCSQ Fraction Heat Energy Demand Natural Gas,Fraction of Heat Energy demand provided by natural gas,``frac_ccsq_heat_energy_$CAT-CCSQ$_natural_gas``,,,,,,0,1,1,``fuel_natural_gas``
Output,:math:`\text{CO}_2` Emissions from CCSQ,Net emissions from carbon capture and sequestration. Entered as a negative number for clarity in accounting purposes.,``emission_co2e_$EMISSION-GAS$_ccsq_$CAT-CCSQ$`` (``$EMISSION-GAS$ = co2``),,,,,,1,1,1,none
Output,CCSQ Energy Demand Electricity,,``energy_demand_ccsq_electricity``,,,,,,1,1,1,none
Output,CCSQ Energy Demand Geothermal  ,,``energy_demand_ccsq_geothermal``,,,,,,1,1,1,``fuel_geothermal``
Output,CCSQ Energy Demand Hydrogen  ,,``energy_demand_ccsq_hydrogen``,,,,,,1,1,1,``fuel_hydrogen``
Output,CCSQ Energy Demand Natural Gas  ,,``energy_demand_ccsq_natural_gas``,,,,,,1,1,1,``fuel_natural_gas``
