Variable Type,Variable,Information,Variable Schema,Dashboard,Categories,Notes,Data Link,Reference,``$CAT-FUEL$``,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Emissions Total by Gas Component
Input,:math:`\text{CH}_4` NemoMod EmissionsActivityRatio Scalar,Scalar applied to the stationary combustion emission factor associated with a power technology's fuel. Can be used to represent carbon capture or other reductions in emissions not associated with efficiency improvements. ,``nemomod_entc_emissions_activity_ratio_scalar_$CAT-TECHNOLOGY$_$EMISSION-GAS$ (``$EMISSION-GAS$ = ch4``),,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``,,,,none,0,1,1,0
Input,:math:`\text{CO}_2` NemoMod EmissionsActivityRatio Scalar,Scalar applied to the stationary combustion emission factor associated with a power technology's fuel. Can be used to represent carbon capture or other reductions in emissions not associated with efficiency improvements. ,``nemomod_entc_emissions_activity_ratio_scalar_$CAT-TECHNOLOGY$_$EMISSION-GAS$ (``$EMISSION-GAS$ = co2``),,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``,,,,none,0,1,1,0
Input,:math:`\text{N}_2\text{O}` NemoMod EmissionsActivityRatio Scalar,Scalar applied to the stationary combustion emission factor associated with a power technology's fuel. Can be used to represent carbon capture or other reductions in emissions not associated with efficiency improvements. ,``nemomod_entc_emissions_activity_ratio_scalar_$CAT-TECHNOLOGY$_$EMISSION-GAS$ (``$EMISSION-GAS$ = n2o``),,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``,,,,none,0,1,1,0
Input,Fuel Production Energy Use Demand Scalar,"Demand scalar applied to fuel production Energy Use demands. Should be used to represent changes to end-use demands in fuel production processes (e.g., a process that requires less heat would reduce the demand scalar). Efficiency improvements are gained from fuel switching. ",``demscalar_entc_fuel_production_heat_energy_$CAT-TECHNOLOGY$``,,``fp_hydrogen_electrolysis``|``fp_hydrogen_thermochemical``|``fp_natural_gas``|``fp_petroleum_refinement``,,,,none,0,1,1,0
Input,Fuel Production Energy Use Fuel Fraction Coal," | Fraction of Energy Use used to process and produce fuels that comes from coal.
 | 
 | **Note**: Across fuels, the sum of *Fuel Production Energy Use Fuel Fraction FUELNAME* must equal 1. ",``frac_entc_fuel_production_energy_use_$CAT-TECHNOLOGY$_coal``,,``me_coal``,,,,none,0,1,1,0
Input,Fuel Production Energy Use Fuel Fraction Crude," | Fraction of Energy Use used to process and produce fuels that comes from crude. 
 | 
 | **Note**: In fuel refineries, the use of Refinery Fuel Gas, which is a by-product of crude refinement, is treated as ``fuel_crude``
 | 
 | **Note**: Across fuels, the sum of *Fuel Production Energy Use Fuel Fraction FUELNAME* must equal 1. ",``frac_entc_fuel_production_energy_use_$CAT-TECHNOLOGY$_crude``,,``fp_petroleum_refinement``,,,,``fuel_crude``,0,1,1,0
Input,Fuel Production Energy Use Fuel Fraction Diesel," | Fraction of Energy Use used to process and produce fuels that comes from diesel.
 | 
 | **Note**: Across fuels, the sum of *Fuel Production Energy Use Fuel Fraction FUELNAME* must equal 1. ",``frac_entc_fuel_production_energy_use_$CAT-TECHNOLOGY$_diesel``,,``me_coal``|``me_natural_gas``|``me_crude``,,,,``fuel_diesel``,0,1,1,0
Input,Fuel Production Energy Use Fuel Fraction Electricity," | Fraction of Energy Use used to process and produce fuels that comes from electricity.
 | 
 | **Note**: Across fuels, the sum of *Fuel Production Energy Use Fuel Fraction FUELNAME* must equal 1. ",``frac_entc_fuel_production_energy_use_$CAT-TECHNOLOGY$_electricity``,,``fp_hydrogen_electrolysis``|``fp_hydrogen_thermochemical``|``fp_natural_gas``|``fp_petroleum_refinement``|``me_coal``|``me_natural_gas``|``me_crude``,,,,``fuel_electricity``,0,1,1,0
Input,Fuel Production Energy Use Fuel Fraction Gasoline," | Fraction of Energy Use used to process and produce fuels that comes from gasoline.
 | 
 | **Note**: Across fuels, the sum of *Fuel Production Energy Use Fuel Fraction FUELNAME* must equal 1. ",``frac_entc_fuel_production_energy_use_$CAT-TECHNOLOGY$_gasoline``,,``me_coal``|``me_natural_gas``|``me_crude``,,,,``fuel_gasoline``,0,1,1,0
Input,Fuel Production Energy Use Fuel Fraction Hydrogen," | Fraction of Energy Use used to process and produce fuels that comes from hydrogen.
 | 
 | **Note**: Across fuels, the sum of *Fuel Production Energy Use Fuel Fraction FUELNAME* must equal 1. ",``frac_entc_fuel_production_energy_use_$CAT-TECHNOLOGY$_hydrogen``,,``fp_petroleum_refinement``,,,,none,0,1,1,0
