Variable Type,Variable,Information,Variable Schema,Dashboard,Categories,Notes,Data Link,Reference,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,``$CAT-FUEL$``
Input,GDP Energy Intensity Factor,Demand per production (measured in value added) by each industrial category $CAT-INDUSTRY$,"``dem_inen_energy_$UNIT-ENERGY$_per_mmm_gdp_$CAT-INDUSTRY$`` (``$UNIT-ENERGY$ = tj``, ``$UNIT-MASS$ = tonne``)",,``other_product_manufacturing``,,,,0,1,1,none
Input,Industrial Energy Demand Scalar,Scalar used to modify energy demands--used to represent efficiency improvements in energy demands in different industries.,``scalar_inen_energy_demand_$CAT-INDUSTRY$``,,``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``other_product_manufacturing``|``paper``|``plastic``|``recycled_glass``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``recycled_wood``|``rubber_and_leather``|``textiles``,,,,0,1,1,none
Input,Industrial Energy Fraction Coal,,``frac_inen_energy_$CAT-INDUSTRY$_coal``,,``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``other_product_manufacturing``|``paper``|``plastic``|``recycled_glass``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``recycled_wood``|``rubber_and_leather``|``textiles``,,,,0,1,1,``fuel_coal``
Input,Industrial Energy Fraction Coke,,``frac_inen_energy_$CAT-INDUSTRY$_coke``,,``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``other_product_manufacturing``|``paper``|``plastic``|``recycled_glass``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``recycled_wood``|``rubber_and_leather``|``textiles``,,,,0,1,1,``fuel_coke``
Input,Industrial Energy Fraction Diesel,,``frac_inen_energy_$CAT-INDUSTRY$_diesel``,,``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``other_product_manufacturing``|``paper``|``plastic``|``recycled_glass``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``recycled_wood``|``rubber_and_leather``|``textiles``,,,,0,1,1,``fuel_diesel``
Input,Industrial Energy Fraction Electricity,,``frac_inen_energy_$CAT-INDUSTRY$_electricity``,,``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``other_product_manufacturing``|``paper``|``plastic``|``recycled_glass``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``recycled_wood``|``rubber_and_leather``|``textiles``,,,,0,1,1,``fuel_electricity``
Input,Industrial Energy Fraction Furnace Gas,,``frac_inen_energy_$CAT-INDUSTRY$_gas_furnace``,,``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``other_product_manufacturing``|``paper``|``plastic``|``recycled_glass``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``recycled_wood``|``rubber_and_leather``|``textiles``,,,,0,1,1,``fuel_gas_furnace``
Input,Industrial Energy Fraction Gasoline,,``frac_inen_energy_$CAT-INDUSTRY$_gasoline``,,``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``other_product_manufacturing``|``paper``|``plastic``|``recycled_glass``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``recycled_wood``|``rubber_and_leather``|``textiles``,,,,0,1,1,``fuel_gasoline``
Input,Industrial Energy Fraction Hydrogen,,``frac_inen_energy_$CAT-INDUSTRY$_hydrogen``,,``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``other_product_manufacturing``|``paper``|``plastic``|``recycled_glass``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``recycled_wood``|``rubber_and_leather``|``textiles``,,,,0,1,1,``fuel_hydrogen``
Input,Industrial Energy Fraction Kerosene,,``frac_inen_energy_$CAT-INDUSTRY$_kerosene``,,``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``other_product_manufacturing``|``paper``|``plastic``|``recycled_glass``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``recycled_wood``|``rubber_and_leather``|``textiles``,,,,0,1,1,``fuel_kerosene``
