Variable Type,Variable,Information,Variable Schema,Dashboard,Categories,Notes,Data Link,Reference,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,``$CAT-FUEL$``
Input,:math:`\text{CH}_4` Gasoline Mobile Combustion Emission Factor,"Methane mobile fuel combustion emission factor, entered as tonne of :math:`\text{CH}_4` are emitted per TJ of energy demanded","``ef_enfu_mobile_combustion_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$_gasoline`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = ch4``, ``$UNIT-ENERGY$ = tj``)",,none,,,,0,1,1,``fuel_gasoline``
Input,:math:`\text{CH}_4` Kerosene Mobile Combustion Emission Factor,"Methane mobile fuel combustion emission factor for kerosene, entered as tonne of :math:`\text{CH}_4` are emitted per TJ of energy demanded","``ef_enfu_mobile_combustion_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$_gasoline`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = ch4``, ``$UNIT-ENERGY$ = tj``)",,none,,,,0,1,1,``fuel_kerosene``
Input,:math:`\text{CH}_4` Biofuels Mobile Combustion Emission Factor,"Methane mobile fuel combustion emission factor for biofuels, entered as tonne of :math:`\text{CH}_4` are emitted per TJ of energy demanded","``ef_enfu_mobile_combustion_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$_biofuels`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = ch4``, ``$UNIT-ENERGY$ = tj``)",,none,,,,0,1,1,``fuel_biofuels``
Input,:math:`\text{CH}_4` Diesel Mobile Combustion Emission Factor,"Methane mobile fuel combustion emission factor for diesel, entered as tonne of :math:`\text{CH}_4` are emitted per TJ of energy demanded","``ef_enfu_mobile_combustion_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$_diesel`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = ch4``, ``$UNIT-ENERGY$ = tj``)",,none,,,,0,1,1,``fuel_diesel``
Input,:math:`\text{CH}_4` Natural Gas Mobile Combustion Emission Factor,"Methane mobile fuel combustion emission factor for natural gas (compressed and liquid), entered as tonne of :math:`\text{CH}_4` are emitted per TJ of energy demanded","``ef_enfu_mobile_combustion_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$_natural_gas`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = ch4``, ``$UNIT-ENERGY$ = tj``)",,none,,,,0,1,1,``fuel_natural_gas``
Input,:math:`\text{N}_2\text{O}` Gasoline Mobile Combustion Emission Factor,"Nitrous oxide mobile fuel combustion emission factor for gasoline, entered as tonne of :math:`\text{N}_2\text{O}` are emitted per TJ of energy demanded","``ef_enfu_mobile_combustion_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$_gasoline`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = n2o``, ``$UNIT-ENERGY$ = tj``)",,none,,,,0,1,1,``fuel_gasoline``
Input,:math:`\text{N}_2\text{O}` Kerosene Mobile Combustion Emission Factor,"Nitrous oxide mobile fuel combustion emission factor for kerosene, entered as tonne of :math:`\text{N}_2\text{O}` are emitted per TJ of energy demanded","``ef_enfu_mobile_combustion_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$_electricity`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = n2o``, ``$UNIT-ENERGY$ = tj``)",,none,,,,0,1,1,``fuel_kerosene``
Input,:math:`\text{N}_2\text{O}` Biofuels Mobile Combustion Emission Factor,"Nitrous oxide mobile fuel combustion emission factor for biofuels, entered as tonne of :math:`\text{N}_2\text{O}` are emitted per TJ of energy demanded","``ef_enfu_mobile_combustion_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$_biofuels`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = n2o``, ``$UNIT-ENERGY$ = tj``)",,none,,,,0,1,1,``fuel_biofuels``
Input,:math:`\text{N}_2\text{O}` Diesel Mobile Combustion Emission Factor,"Nitrous oxide mobile fuel combustion emission factor for diesel, entered as tonne of :math:`\text{N}_2\text{O}` are emitted per TJ of energy demanded","``ef_enfu_mobile_combustion_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$_diesel`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = n2o``, ``$UNIT-ENERGY$ = tj``)",,none,,,,0,1,1,``fuel_diesel``
Input,:math:`\text{N}_2\text{O}` Natural Gas Mobile Combustion Emission Factor,"Nitrous oxide mobile fuel combustion emission factor for natural gas (liquid and compressed), entered as tonne of :math:`\text{N}_2\text{O}` are emitted per TJ of energy demanded","``ef_enfu_mobile_combustion_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$_natural_gas`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = n2o``, ``$UNIT-ENERGY$ = tj``)",,none,,,,0,1,1,``fuel_natural_gas``
