Variable Type,Variable,Information,Variable Schema,Dashboard,Categories,Notes,Data Link,Reference,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period
Input,:math:`\text{CH}_4` Production Emission Factor,Unitless emission factor (tonne/tonne) representing how tonnes of :math:`\text{CH}_4` emitted per tonne of production,"``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = ch4``)",,``chemicals``|``metals``,,,,0,1,1
Input,:math:`\text{CO}_2` GDP Emission Factor,Unitless emission factor (tonne/tonne) representing how tonnes of :math:`\text{CO}_2` emitted per tonne of production,"``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_mmm_gdp_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = co2``)",,``non_energy_products``,,,,0,1,1
Input,:math:`\text{CO}_2` Production Emission Factor,Unitless emission factor (tonne/tonne) representing how tonnes of :math:`\text{CO}_2` emitted per tonne of production,"``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = co2``)",,``cement``|``chemicals``|``glass``|``lime_and_carbonite``|``metals``|``recycled_glass``,,,,0,1,1
Input,:math:`\text{N}_2\text{O}` GDP Emission Factor,Unitless emission factor (tonne/tonne) representing how tonnes of :math:`\text{N}_2\text{O}` emitted per tonne of production,"``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_mmm_gdp_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = n2o``)",,``other_product_manufacturing``,,,,0,1,1
Input,:math:`\text{N}_2\text{O}` Production Emission Factor,Unitless emission factor (tonne/tonne) representing how tonnes of :math:`\text{N}_2\text{O}` emitted per tonne of production,"``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = n2o``)",,``chemicals``,,,,0,1,1
Input,:math:`\text{NF}_3` Production Emission Factor,Unitless emission factor (tonne/tonne) representing how tonnes of :math:`\text{NF}_3` emitted per tonne of production,"``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = sf6``)",,``chemicals``|``electronics``,,,,0,1,1
Input,:math:`\text{SF}_6` GDP Emission Factor,Unitless emission factor (tonne/tonne) representing how tonnes of :math:`\text{SF}_6` emitted per tonne of production,"``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_mmm_gdp_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = sf6``)",,``other_product_manufacturing``,,,,0,1,1
Input,:math:`\text{SF}_6` Production Emission Factor,Unitless emission factor (tonne/tonne) representing how tonnes of :math:`\text{SF}_6` emitted per tonne of production,"``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = sf6``)",,``chemicals``|``electronics``,,,,0,1,1
Input,COD Wastewater Factor,Mass of chemical oxygen demand (COD) generated per tonne of production.,"``qty_ippu_$CAT-INDUSTRY$_$UNIT-MASS$_cod_per_$UNIT-VOLUME$_ww`` (``$UNIT-MASS$ = tonne``, ``$UNIT-VOLUME$ = m3``)",,``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``paper``|``plastic``|``recycled_glass``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``recycled_wood``|``rubber_and_leather``|``textiles``,,,,0,1,1
Input,Elasticity of Industrial Production to GDP,,``elast_ippu_$CAT-INDUSTRY$_production_to_gdp``,,``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``paper``|``plastic``|``recycled_glass``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``rubber_and_leather``|``textiles``,,,,0,1,1
Input,HFC Emission GDP Factor Placeholder,TEMP: HFC-134a. Needs to be all hfcs.,"``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = hfc134a``)",,``ods_products``,,,,0,1,1
Input,HFC Emission Production Factor Placeholder,TEMP: HFC-134a. Needs to be all hfcs.,"``ef_ippu_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_production_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``, ``$EMISSION-GAS$ = hfc134a``)",,``chemicals``|``electronics``|``metals``,,,,0,1,1
