croplands_to_croplands,croplands_to_forests_mangroves,croplands_to_forests_primary,croplands_to_forests_secondary,croplands_to_grasslands,croplands_to_other,croplands_to_settlements,croplands_to_wetlands,forests_mangroves_to_croplands,forests_mangroves_to_forests_mangroves,forests_mangroves_to_forests_primary,forests_mangroves_to_forests_secondary,forests_mangroves_to_grasslands,forests_mangroves_to_other,forests_mangroves_to_settlements,forests_mangroves_to_wetlands,forests_primary_to_croplands,forests_primary_to_forests_mangroves,forests_primary_to_forests_primary,forests_primary_to_forests_secondary,forests_primary_to_grasslands,forests_primary_to_other,forests_primary_to_settlements,forests_primary_to_wetlands,forests_secondary_to_croplands,forests_secondary_to_forests_mangroves,forests_secondary_to_forests_primary,forests_secondary_to_forests_secondary,forests_secondary_to_grasslands,forests_secondary_to_other,forests_secondary_to_settlements,forests_secondary_to_wetlands,grasslands_to_croplands,grasslands_to_forests_mangroves,grasslands_to_forests_primary,grasslands_to_forests_secondary,grasslands_to_grasslands,grasslands_to_other,grasslands_to_settlements,grasslands_to_wetlands,other_to_croplands,other_to_forests_mangroves,other_to_forests_primary,other_to_forests_secondary,other_to_grasslands,other_to_other,other_to_settlements,other_to_wetlands,settlements_to_croplands,settlements_to_forests_mangroves,settlements_to_forests_primary,settlements_to_forests_secondary,settlements_to_grasslands,settlements_to_other,settlements_to_settlements,settlements_to_wetlands,wetlands_to_croplands,wetlands_to_forests_mangroves,wetlands_to_forests_primary,wetlands_to_forests_secondary,wetlands_to_grasslands,wetlands_to_other,wetlands_to_settlements,wetlands_to_wetlands,year,country
0.96,0.0001,0.0,0.0001,0.0001,0.040104400452572304,0.0001,0.0001,0.03960000000000009,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.9914084182627748,0.0,0.008191581737225262,0.0001,0.0001,0.0001,0.039500000000000104,0.0,0.0001,0.96,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.96,0.039500000000000104,0.0001,0.0001,0.0001,0.0001,0.0,0.0003092491917844017,0.012888468824484769,0.9829834175821206,0.00041187177308605916,0.003206992628524196,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.03492699279549303,0.0001,0.0,0.004673007204506964,0.0001,0.0001,0.0001,0.96,2013,Argentina
0.96,0.0001,0.0,0.0001,0.03540876683055164,0.004817130909440709,0.0001,0.0001,0.03960000000000009,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.9913339319194439,0.0,0.008266068080556157,0.0001,0.0001,0.0001,0.039500000000000104,0.0,0.0001,0.96,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.96,0.03950000000000011,0.0001,0.0001,0.0001,0.0001,0.0,9.999999999999995e-05,9.999999999999827e-05,0.9958563794214359,0.0003746116359032048,0.0033690089426610214,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.02160938639473747,0.0001,0.0,0.009736270432605509,0.00835434317265701,0.0001,0.0001,0.96,2014,Argentina
0.96,0.0001,0.0,0.0001,0.036917864270589476,0.003331072661757654,0.0001,0.0001,0.03960000000000009,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.9957885624910111,0.0,0.0038114375089889946,0.0001,0.0001,0.0001,0.039500000000000104,0.0,0.0001,0.96,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.96,0.039500000000000104,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,9.999999999999827e-05,0.9956473769405759,0.00034723951362513906,0.003605383545798964,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.009392486675964179,0.0001,0.0,0.011543863553595395,0.018763649770440417,0.0001,0.0001,0.96,2015,Argentina
0.96,0.0001,0.0,0.0001,0.0001,0.040173314711101915,0.0001,0.0001,0.03960000000000009,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.9930694168622495,0.0,0.0065305831377505995,0.0001,0.0001,0.0001,0.0001,0.0,0.039500000000000104,0.96,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.96,0.039500000000000104,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.010035495300054294,0.9869171903289065,0.0003778012827367923,0.0023695130883025594,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.00809754129180999,0.0001,0.0,0.011024396513767196,0.020578062194422802,0.0001,0.0001,0.96,2016,Argentina
0.96,0.0001,0.0,0.0001,0.033915177841472896,0.0063844668623850576,0.0001,0.0001,0.03960000000000009,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.9949506659408456,0.0,0.004649334059154448,0.0001,0.0001,0.0001,0.039500000000000104,0.0,0.0001,0.96,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.96,0.039500000000000104,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.9976781465687312,0.00037427408450367485,0.001547579346765233,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.00031578728789739276,0.0001,0.0,0.011410554778037442,0.027973657934065154,0.0001,0.0001,0.96,2017,Argentina
0.96,0.039500000000000104,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0396000000000001,0.0001,0.0,1.0,0.0,0.0001,0.0001,0.0001,0.00042065745180534445,0.039500000000000104,0.0,0.0001,0.96,0.0001,0.0001,0.0001,0.0001,0.0001,0.039500000000000104,0.0,0.0001,0.96,0.0001,0.0001,0.0001,0.0001,0.029610316352237955,0.0,0.0001,0.0001,0.96,0.004092104663863223,0.0059975789838989215,0.0001,0.039500000000000104,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.9994,2013,Bahamas
0.96,0.039500000000000104,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9638965670841416,0.0,0.0,0.0001,0.020261438874529306,0.0031885835649362666,0.012453410476392843,0.0001,0.0,1.0,0.0,0.0001,0.0001,0.00010000000000000006,0.0001,0.039500000000000104,0.0,0.0001,0.96,0.0001,0.0001,0.0001,0.0001,0.039500000000000104,0.0001,0.0,0.0001,0.96,0.0001,0.0001,0.0001,0.0001,0.039500000000000104,0.0,0.0001,0.0001,0.96,0.0001,0.0001,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.0005812685375955207,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.9989187314624044,2014,Bahamas
0.96,0.039500000000000104,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.96,0.0,0.0,0.0001,0.008421365844063387,0.002289624687897467,0.029089009468039228,0.0001,0.0,1.0,0.0,0.0001,0.0001,0.0001,0.0001,0.039500000000000104,0.0,0.0001,0.96,0.0001,0.0001,0.0001,0.0001,0.039500000000000104,0.0001,0.0,0.0001,0.96,0.0001,0.0001,0.0001,0.0001,0.027326223738412717,0.0,0.0001,0.0001,0.9721737762615874,0.0001,0.0001,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.0005797329871583932,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.9989202670128415,2015,Bahamas
0.96,0.039500000000000104,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9689992315575808,0.0,0.0,0.0001,0.03060076844241922,0.0001,0.0001,0.0001,0.0,1.0,0.0,0.0001,0.0001,0.0001,0.0001,0.039500000000000104,0.0,0.0001,0.96,0.0001,0.0001,0.0001,0.0001,0.039500000000000104,0.0001,0.0,0.0001,0.96,0.0001,0.0001,0.0001,0.0001,0.039500000000000104,0.0,0.0001,0.0001,0.96,0.0001,0.0001,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.0005845656377395327,0.0001,0.0,0.0001,0.0001,0.00573001483476499,0.0012621729489014895,0.992123246578594,2016,Bahamas
0.96,0.039500000000000104,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.96,0.0,0.0,0.0001,0.024544690168986503,0.003998574836320198,0.011256734994693382,0.0001,0.0,1.0,0.0,0.0001,0.0001,0.0001,0.0001,0.039500000000000104,0.0,0.0001,0.96,0.0001,0.0001,0.0001,0.0001,0.039500000000000104,0.0001,0.0,0.0001,0.96,0.0001,0.0001,0.0001,0.0001,0.03235131669458037,0.0,0.0001,0.0001,0.9671486833054197,0.0001,0.0001,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.0005711256765088959,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.9989288743234911,2017,Bahamas
