time_period,pij_lndu_croplands_to_croplands,pij_lndu_croplands_to_forests_mangroves,pij_lndu_croplands_to_forests_primary,pij_lndu_croplands_to_forests_secondary,pij_lndu_croplands_to_grasslands,pij_lndu_croplands_to_other,pij_lndu_croplands_to_settlements,pij_lndu_croplands_to_wetlands,pij_lndu_forests_mangroves_to_croplands,pij_lndu_forests_mangroves_to_forests_mangroves,pij_lndu_forests_mangroves_to_forests_primary,pij_lndu_forests_mangroves_to_forests_secondary,pij_lndu_forests_mangroves_to_grasslands,pij_lndu_forests_mangroves_to_other,pij_lndu_forests_mangroves_to_settlements,pij_lndu_forests_mangroves_to_wetlands,pij_lndu_forests_primary_to_croplands,pij_lndu_forests_primary_to_forests_mangroves,pij_lndu_forests_primary_to_forests_primary,pij_lndu_forests_primary_to_forests_secondary,pij_lndu_forests_primary_to_grasslands,pij_lndu_forests_primary_to_other,pij_lndu_forests_primary_to_settlements,pij_lndu_forests_primary_to_wetlands,pij_lndu_forests_secondary_to_croplands,pij_lndu_forests_secondary_to_forests_mangroves,pij_lndu_forests_secondary_to_forests_primary,pij_lndu_forests_secondary_to_forests_secondary,pij_lndu_forests_secondary_to_grasslands,pij_lndu_forests_secondary_to_other,pij_lndu_forests_secondary_to_settlements,pij_lndu_forests_secondary_to_wetlands,pij_lndu_grasslands_to_croplands,pij_lndu_grasslands_to_forests_mangroves,pij_lndu_grasslands_to_forests_primary,pij_lndu_grasslands_to_forests_secondary,pij_lndu_grasslands_to_grasslands,pij_lndu_grasslands_to_other,pij_lndu_grasslands_to_settlements,pij_lndu_grasslands_to_wetlands,pij_lndu_other_to_croplands,pij_lndu_other_to_forests_mangroves,pij_lndu_other_to_forests_primary,pij_lndu_other_to_forests_secondary,pij_lndu_other_to_grasslands,pij_lndu_other_to_other,pij_lndu_other_to_settlements,pij_lndu_other_to_wetlands,pij_lndu_settlements_to_croplands,pij_lndu_settlements_to_forests_mangroves,pij_lndu_settlements_to_forests_primary,pij_lndu_settlements_to_forests_secondary,pij_lndu_settlements_to_grasslands,pij_lndu_settlements_to_other,pij_lndu_settlements_to_settlements,pij_lndu_settlements_to_wetlands,pij_lndu_wetlands_to_croplands,pij_lndu_wetlands_to_forests_mangroves,pij_lndu_wetlands_to_forests_primary,pij_lndu_wetlands_to_forests_secondary,pij_lndu_wetlands_to_grasslands,pij_lndu_wetlands_to_other,pij_lndu_wetlands_to_settlements,pij_lndu_wetlands_to_wetlands,country
0,0.982426495652206,0.0,0.0017852019804215935,0.0004529858616311132,0.009348274541338212,0.004946308250116435,0.0002139423952017733,0.0008267913190850581,0.00363888888888884,0.9963611111111113,0.0,0.0,0.0,0.0,0.0,0.0,0.004560328740007547,0.0,0.9893815528342323,5.5644230940088855e-05,0.002461116100169339,0.0035413580946506923,0.0,2.4093381610788983e-20,0.0030555555555555275,0.0,0.0,0.9963611111111113,0.0,0.0005833333333333122,0.0,0.0,0.005661586431229496,0.0,0.0,1.3611508369417513e-05,0.979698500521296,0.014626301539105081,0.0,0.0,0.0013429361938827064,0.0,9.637352644315593e-20,2.3733268480944133e-05,0.00030774518517475986,0.9975918276356596,0.00030696199284422997,0.00042679572395782646,0.00170882791181149,0.0,0.0,0.0,0.0,0.0005833333333333122,0.9977078387548552,0.0,0.006645675073327741,0.0,0.0,0.0,0.0,0.0005833333333333122,0.0,0.9927709915933388,argentina
1,0.9828900167779103,0.0,0.001783235200806554,0.0004152370398285204,0.0094233891807517,0.004534115895940066,0.0001961138622682922,0.0007578920424946365,0.0038284143518518003,0.9961715856481483,0.0,0.0,0.0,0.0,0.0,0.0,0.00479784586188294,0.0,0.9885570682068705,0.00025883728405749713,0.0028507928160294844,0.003535455831159608,0.0,2.4093381610788983e-20,0.0032146990740740448,0.0,0.0,0.9962039120370372,0.0,0.0005813888888888679,0.0,0.0,0.005950004544937568,0.0,0.0,1.2477216005299387e-05,0.9806300751615442,0.01340744307751299,0.0,0.0,0.0014128807873140974,0.0,9.629321517111997e-20,2.3731606234838978e-05,0.0003077236311171783,0.9975219576499325,0.0003069404936403826,0.0004267658317611231,0.0017978293655516718,0.0,0.0,0.0,0.0,0.0005832813269486688,0.9976188893074998,0.0,0.006991803983396894,0.0,0.0,0.0,0.0,0.0005831300740070002,0.0,0.9924250659425959,argentina
2,0.9833535379036148,0.0,0.0017812684211915147,0.00037748821802592765,0.00949850382016519,0.004121923541763696,0.00017828532933481108,0.0006889927659042151,0.004017939814814761,0.9959820601851853,0.0,0.0,0.0,0.0,0.0,0.0,0.005035362983758333,0.0,0.9877325835795087,0.00046203033717490545,0.0032404695318896297,0.0035295535676685232,0.0,2.4093381610788983e-20,0.0033738425925925616,0.0,0.0,0.9960467129629631,0.0,0.0005794444444444235,0.0,0.0,0.00623842265864564,0.0,0.0,1.134292364118126e-05,0.9815616498017923,0.012188584615920902,0.0,0.0,0.0014828253807454884,0.0,9.6212903899084e-20,2.3729943988733823e-05,0.00030770207705959674,0.9974520876642052,0.0003069189944365352,0.0004267359395644198,0.0018868308192918535,0.0,0.0,0.0,0.0,0.0005832293205640254,0.9975299398601442,0.0,0.007337932893466048,0.0,0.0,0.0,0.0,0.0005829268146806884,0.0,0.9920791402918532,argentina
3,0.9838170590293192,0.0,0.0017793016415764752,0.0003397393962233349,0.009573618459578678,0.0037097311875873267,0.00016045679640132998,0.0006200934893137935,0.0042074652777777215,0.9957925347222223,0.0,0.0,0.0,0.0,0.0,0.0,0.005272880105633726,0.0,0.9869080989521468,0.0006652233902923137,0.0036301462477497754,0.003523651304177439,0.0,2.4093381610788983e-20,0.003532986111111079,0.0,0.0,0.995889513888889,0.0,0.0005774999999999791,0.0,0.0,0.006526840772353713,0.0,0.0,1.0208631277063134e-05,0.9824932244420405,0.010969726154328811,0.0,0.0,0.0015527699741768794,0.0,9.613259262704804e-20,2.3728281742628665e-05,0.00030768052300201513,0.9973822176784781,0.00030689749523268785,0.0004267060473677164,0.001975832273032035,0.0,0.0,0.0,0.0,0.0005831773141793819,0.9974409904127886,0.0,0.007684061803535201,0.0,0.0,0.0,0.0,0.0005827235553543765,0.0,0.9917332146411103,argentina
4,0.9842805801550236,0.0,0.0017773348619614358,0.0003019905744207421,0.009648733098992167,0.0032975388334109566,0.0001426282634678489,0.000551194212723372,0.004396990740740681,0.9956030092592594,0.0,0.0,0.0,0.0,0.0,0.0,0.005510397227509119,0.0,0.9860836143247849,0.000868416443409722,0.00401982296360992,0.003517749040686354,0.0,2.4093381610788983e-20,0.003692129629629596,0.0,0.0,0.995732314814815,0.0,0.0005755555555555347,0.0,0.0,0.006815258886061785,0.0,0.0,9.074338912945009e-06,0.9834247990822886,0.009750867692736722,0.0,0.0,0.0016227145676082704,0.0,9.605228135501208e-20,2.372661949652351e-05,0.0003076589689444336,0.9973123476927509,0.00030687599602884053,0.00042667615517101305,0.002064833726772217,0.0,0.0,0.0,0.0,0.0005831253077947385,0.9973520409654331,0.0,0.008030190713604354,0.0,0.0,0.0,0.0,0.0005825202960280645,0.0,0.9913872889903675,argentina
5,0.984744101280728,0.0,0.0017753680823463965,0.00026424175261814935,0.009723847738405655,0.0028853464792345873,0.00012479973053436776,0.00048229493613295054,0.004586516203703642,0.9954134837962965,0.0,0.0,0.0,0.0,0.0,0.0,0.0057479143493845124,0.0,0.985259129697423,0.0010716094965271302,0.004409499679470066,0.00351184677719527,0.0,2.4093381610788983e-20,0.0038512731481481132,0.0,0.0,0.9955751157407409,0.0,0.0005736111111110903,0.0,0.0,0.007103676999769857,0.0,0.0,7.940046548826883e-06,0.9843563737225367,0.008532009231144631,0.0,0.0,0.0016926591610396614,0.0,9.597197008297612e-20,2.3724957250418355e-05,0.000307637414886852,0.9972424777070238,0.00030685449682499316,0.0004266462629743097,0.002153835180512399,0.0,0.0,0.0,0.0,0.000583073301410095,0.9972630915180776,0.0,0.008376319623673507,0.0,0.0,0.0,0.0,0.0005823170367017525,0.0,0.9910413633396247,argentina
6,0.9852076224064323,0.0,0.001773401302731357,0.0002264929308155566,0.009798962377819144,0.0024731541250582177,0.00010697119760088667,0.000413395659542529,0.004776041666666602,0.9952239583333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0059854314712599055,0.0,0.9844346450700612,0.0012748025496445384,0.004799176395330212,0.0035059445137041855,0.0,2.4093381610788983e-20,0.00401041666666663,0.0,0.0,0.9954179166666668,0.0,0.0005716666666666459,0.0,0.0,0.007392095113477929,0.0,0.0,6.8057541847087565e-06,0.9852879483627849,0.007313150769552541,0.0,0.0,0.0017626037544710522,0.0,9.589165881094016e-20,2.37232950043132e-05,0.00030761586082927046,0.9971726077212966,0.0003068329976211458,0.0004266163707776063,0.002242836634252581,0.0,0.0,0.0,0.0,0.0005830212950254515,0.997174142070722,0.0,0.00872244853374266,0.0,0.0,0.0,0.0,0.0005821137773754406,0.0,0.9906954376888819,argentina
7,0.9856711435321368,0.0,0.0017714345231163177,0.00018874410901296382,0.009874077017232632,0.002060961770881848,8.914266466740554e-05,0.0003444963829521075,0.004965567129629563,0.9950344328703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0062229485931352985,0.0,0.9836101604426993,0.0014779956027619469,0.005188853111190357,0.0035000422502131008,0.0,2.4093381610788983e-20,0.004169560185185148,0.0,0.0,0.9952607175925927,0.0,0.0005697222222222016,0.0,0.0,0.007680513227186001,0.0,0.0,5.67146182059063e-06,0.9862195230030331,0.006094292307960452,0.0,0.0,0.0018325483479024432,0.0,9.581134753890419e-20,2.3721632758208045e-05,0.0003075943067716889,0.9971027377355695,0.0003068114984172984,0.000426586478580903,0.0023318380879927625,0.0,0.0,0.0,0.0,0.0005829692886408081,0.9970851926233664,0.0,0.009068577443811815,0.0,0.0,0.0,0.0,0.0005819105180491287,0.0,0.990349512038139,argentina
8,0.9861346646578412,0.0,0.0017694677435012784,0.00015099528721037106,0.00994919165664612,0.0016487694167054783,7.131413173392444e-05,0.000275597106361686,0.005155092592592524,0.9948449074074075,0.0,0.0,0.0,0.0,0.0,0.0,0.006460465715010692,0.0,0.9827856758153375,0.001681188655879355,0.0055785298270505015,0.0034941399867220164,0.0,2.4093381610788983e-20,0.0043287037037036645,0.0,0.0,0.9951035185185186,0.0,0.0005677777777777572,0.0,0.0,0.007968931340894074,0.0,0.0,4.537169456472504e-06,0.9871510976432811,0.004875433846368361,0.0,0.0,0.0019024929413338342,0.0,9.573103626686823e-20,2.371997051210289e-05,0.00030757275271410734,0.9970328677498423,0.00030678999921345104,0.00042655658638419963,0.0024208395417329442,0.0,0.0,0.0,0.0,0.0005829172822561647,0.9969962431760109,0.0,0.009414706353880968,0.0,0.0,0.0,0.0,0.0005817072587228167,0.0,0.9900035863873962,argentina
9,0.9865981857835456,0.0,0.001767500963886239,0.0001132464654077783,0.01002430629605961,0.0012365770625291086,5.3485598800443346e-05,0.00020669782977126444,0.005344618055555484,0.9946553819444446,0.0,0.0,0.0,0.0,0.0,0.0,0.006697982836886085,0.0,0.9819611911879755,0.0018843817089967633,0.005968206542910647,0.0034882377232309317,0.0,2.4093381610788983e-20,0.004487847222222181,0.0,0.0,0.9949463194444446,0.0,0.0005658333333333128,0.0,0.0,0.008257349454602145,0.0,0.0,3.4028770923543787e-06,0.9880826722835293,0.0036565753847762703,0.0,0.0,0.0019724375347652252,0.0,9.565072499483227e-20,2.3718308265997736e-05,0.0003075511986565258,0.9969629977641151,0.0003067685000096037,0.00042652669418749627,0.002509840995473126,0.0,0.0,0.0,0.0,0.0005828652758715213,0.9969072937286554,0.0,0.009760835263950121,0.0,0.0,0.0,0.0,0.0005815039993965047,0.0,0.9896576607366534,argentina
