country,optimization_bound,croplands_to_croplands,croplands_to_forests_mangroves,croplands_to_forests_primary,croplands_to_forests_secondary,croplands_to_grasslands,croplands_to_other,croplands_to_settlements,croplands_to_wetlands,forests_mangroves_to_croplands,forests_mangroves_to_forests_mangroves,forests_mangroves_to_forests_primary,forests_mangroves_to_forests_secondary,forests_mangroves_to_grasslands,forests_mangroves_to_other,forests_mangroves_to_settlements,forests_mangroves_to_wetlands,forests_primary_to_croplands,forests_primary_to_forests_mangroves,forests_primary_to_forests_primary,forests_primary_to_forests_secondary,forests_primary_to_grasslands,forests_primary_to_other,forests_primary_to_settlements,forests_primary_to_wetlands,forests_secondary_to_croplands,forests_secondary_to_forests_mangroves,forests_secondary_to_forests_primary,forests_secondary_to_forests_secondary,forests_secondary_to_grasslands,forests_secondary_to_other,forests_secondary_to_settlements,forests_secondary_to_wetlands,grasslands_to_croplands,grasslands_to_forests_mangroves,grasslands_to_forests_primary,grasslands_to_forests_secondary,grasslands_to_grasslands,grasslands_to_other,grasslands_to_settlements,grasslands_to_wetlands,other_to_croplands,other_to_forests_mangroves,other_to_forests_primary,other_to_forests_secondary,other_to_grasslands,other_to_other,other_to_settlements,other_to_wetlands,settlements_to_croplands,settlements_to_forests_mangroves,settlements_to_forests_primary,settlements_to_forests_secondary,settlements_to_grasslands,settlements_to_other,settlements_to_settlements,settlements_to_wetlands,wetlands_to_croplands,wetlands_to_forests_mangroves,wetlands_to_forests_primary,wetlands_to_forests_secondary,wetlands_to_grasslands,wetlands_to_other,wetlands_to_settlements,wetlands_to_wetlands
argentina,max_diagonal,0.995,0.0,0.0,0.00018122846266768278,0.0001,0.004718771537332626,0.0,0.0,0.0,0.9985,0.0,0.0,0.0,0.0,0.0,0.001499999999999944,0.007810684032070593,0.0,0.9890239397517786,0.0,0.003,5e-05,0.00011537621615078622,0.0,0.0014499999999999448,0.0,0.0,0.9985,0.0,5e-05,0.0,0.0,0.01579218955025179,0.0,0.0,0.0,0.9817196150752936,0.0022443614183782507,0.0,0.00024383395607637762,0.008447765383328108,0.0,0.0,5.450056348715975e-05,0.0,0.9914977340531848,0.0,0.0,0.0036294512063036496,0.0,0.0,0.0007499999999999729,0.0,0.0,0.9956205487936964,0.0,0.0025294847337863817,0.0,0.0,0.0,0.0,0.0,0.0,0.9974705152662136
argentina,min_diagonal,0.95,0.0,0.0,0.0,0.04497664655397842,0.005,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.020000000000000025,0.01,0.007895490791524,0.0,0.9890045092084759,0.0,0.003,0.0001,0.0,0.0,0.019200000000000023,0.0,0.0005,0.9692,0.001,0.0001,0.0,0.009999999999999998,0.038299219515343416,0.0,0.0,0.0,0.9561258739967671,0.005,0.0,0.0005749064878895506,0.004016744706186,0.0,0.0,0.0003073339715426158,0.006200269759694831,0.9892067660629449,9.600953460819013e-06,0.00025928454617089414,0.004950000000000005,0.0,0.0,0.0,0.004950000000000005,0.0001,0.99,0.0,0.015151785564595045,0.0,0.0,0.0030702464243528493,0.0,0.0001,0.001677968011052125,0.98
bahamas,max_diagonal,0.98915,0.00075,0.0,0.0,0.0001,0.0,0.0,0.01,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.01,0.00075,0.0,1.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.030000000000000034,0.01,0.0,0.0,0.0,0.0,0.95,0.0,0.040000000000000015,0.01,0.0,0.0009004695647504774,0.0,0.0,0.0,0.9889324946606505,0.0001670357745990342,0.01,0.0,8.673617379884035e-18,0.0,0.0,0.0,0.0,0.99,0.01,0.0006957872249295917,0.0020915522244548744,0.0,0.0,0.0,0.0,0.0,0.9972126605506155
bahamas,min_diagonal,0.98915,0.00075,0.0,0.0,0.0001,0.0,0.0,0.01,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.00075,0.0,1.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.04000000000000004,0.01,0.0,0.0,0.0,0.0,0.95,0.0,0.040000000000000105,0.01,0.0,0.0009004695647505203,0.0,0.0,0.0,0.9889324946606505,0.00016703577459902937,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.01,0.0006957872249296035,0.0020915522244548774,0.0,0.0,0.0,0.0,0.0,0.9972126605506155
barbados,max_diagonal,0.9791734549160402,0.0,0.0,0.0,0.0001,0.0,0.017773420083959945,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.030000000000000034,0.01,0.00075,0.0,1.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.030000000000000034,0.01,0.0,0.0,0.0,0.0,0.95,0.0025,0.04750000000000004,0.0,0.0061014151272950614,0.0,0.0,0.0,0.0,0.9938985848727049,0.0,0.0,0.006109053255392951,0.0,0.0,0.0,0.003884169812746267,0.0,0.99,6.776931860789356e-06,0.0,0.0,0.0,0.0,0.0,5e-05,1.3877787807814457e-17,0.99995
barbados,min_diagonal,0.991946875,0.0,0.0,0.0,0.0001,0.005,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.020000000000000025,0.01,0.00075,0.0,1.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.04000000000000004,0.01,0.0,0.0,0.0,0.0,0.95,0.0025,0.04750000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.9870048498749836,0.012995150125016373,0.0,0.0028877327250430036,0.0,0.0,0.0,0.003884169812746267,0.0,0.99322132053035,6.776931860789803e-06,0.0,0.0,0.0,0.0,0.0,5e-05,6.938893903907228e-18,0.99995
belize,max_diagonal,0.9932154545454545,0.00075,0.0,0.0009345454545454568,0.0001,0.005,0.0,0.0,0.010215399784275358,0.9897746002157246,0.0,0.0,0.0,1e-05,0.0,0.0,0.00489279511591255,0.0,0.9912667204083975,0.0,0.003,0.0,0.00032711024849441296,0.0005133742271955604,0.0,0.0,0.0,0.96,0.0,0.0001,0.02990000000000003,0.01,0.0,0.04500000000000005,0.0,0.0,0.95,0.005,0.0,0.0,0.0,0.0028582257463300982,0.0,0.0,0.0,0.9971417742536699,0.0,0.0,0.0,0.010000000000000009,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014999999999999528,0.9985
bolivia,max_diagonal,0.8301105321293565,0.0,0.0,0.0,0.15606781122807192,0.004950000000000069,0.0,0.0022889211394091216,0.0,0.97925,0.0,0.0,0.0,0.0,0.015000000000000017,0.005749999999999972,0.00130861224895333,0.0,0.9956342922316166,0.0,0.003,5e-05,7.095519430104285e-06,0.0,0.0006999999999999715,0.0,0.0,0.97925,0.0,0.0001,0.019950000000000016,0.0,0.02470256541994787,0.0,0.0,4.883225673445331e-05,0.9726554886363636,0.002530494364064704,0.0,6.261932288939075e-05,0.0007499999999999723,0.0,0.0,0.0,0.0007499999999999728,0.9985,0.0,0.0,0.0006999999999999732,0.0,0.0,0.0,0.0,0.0001,0.9942500000000001,0.004950000000000005,0.0006489399524565855,0.0,0.0,0.00020605725523770738,0.00025,0.0001,0.00029500279230564735,0.9985
bolivia,min_diagonal,0.95,0.0,0.0,0.0,0.04500000000000096,0.005,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.020000000000000025,0.01,0.00075,0.0,0.9953520724912575,0.0,0.0037979275087424713,0.0001,0.0,0.0,0.02235500110767205,0.0,0.0005,0.95,0.001,0.0001,0.026044998892327996,0.0,0.012213893270762886,0.0,0.0,0.0,0.9819809444741299,0.004999999999999999,0.0,0.0008051622551072617,0.0,0.0,0.0,0.0,0.010849361777584521,0.9891506382224154,0.0,0.0,0.0,0.0,0.0,0.0,0.00990000000000001,0.0001,0.99,0.0,0.01679577473391016,0.0,0.0,0.002604225266089856,0.0005,0.0001,0.0,0.98
brazil,max_diagonal,0.9644319299213876,0.0001875,0.0,0.0,0.029343659826462174,0.004949999999999951,0.0,0.00044546374340349534,0.0003724999999999857,0.9791725903221777,0.0,0.0,0.009997500000000008,7.500000000000001e-06,0.007497500000000008,0.0029524096778222124,0.0008522737292918216,0.0,0.9961306381802163,0.0,0.003,0.0,1.7088090491763242e-05,0.0,0.0077086396416178775,0.0,0.00025,0.98635,0.00025,7.500000000000001e-05,0.002491360358382117,0.002874999999999986,0.011261273132567896,0.00039257860635992015,0.0,0.002170601252657677,0.9821630290638621,0.003751008503605934,4.593806049085389e-06,0.0002569156348972829,0.0,0.0,0.0,0.0003079048157896537,0.0007560309932018634,0.9984939690067981,0.00011523472064941979,0.0003268604635608995,0.0,0.0,0.0,0.00037499999999998646,0.0,2.5e-05,0.9942500000000001,0.0053499999999999884,0.0003499999999999864,0.0,0.0,0.0007249999999999726,0.0,5e-05,0.0003749999999999856,0.9985
