category_name,region,iso_alpha_3,fao_area_code
Afghanistan,afghanistan,AFG,2
Albania,albania,ALB,3
Algeria,algeria,DZA,4
American Samoa,american_samoa,ASM,5
Andorra,andorra,AND,6
Angola,angola,AGO,7
Antigua and Barbuda,antigua_and_barbuda,ATG,8
Argentina,argentina,ARG,9
Armenia,armenia,ARM,1
Aruba,aruba,ABW,22
Australia,australia,AUS,10
Austria,austria,AUT,11
Azerbaijan,azerbaijan,AZE,52
Bahamas,bahamas,BHS,12
Bahrain,bahrain,BHR,13
Bangladesh,bangladesh,BGD,16
Barbados,barbados,BRB,14
Belarus,belarus,BLR,57
Belgium,belgium,BEL,255
Belize,belize,BLZ,23
Benin,benin,BEN,53
Bermuda,bermuda,BMU,17
Bhutan,bhutan,BTN,18
Bolivia,bolivia,BOL,19
Bosnia and Herzegovina,bosnia_and_herzegovina,BIH,80
Botswana,botswana,BWA,20
Brazil,brazil,BRA,21
British Virgin Islands,british_virgin_islands,VGB,239
Brunei Darussalam,brunei_darussalam,BRN,26
Bulgaria,bulgaria,BGR,27
Burkina Faso,burkina_faso,BFA,233
Burundi,burundi,BDI,29
Cabo Verde,cabo_verde,CPV,35
Cambodia,cambodia,KHM,115
Cameroon,cameroon,CMR,32
Canada,canada,CAN,33
Cayman Islands,cayman_islands,CYM,36
Central African Republic,central_african_republic,CAF,37
Chad,chad,TCD,39
Channel Islands,channel_islands,CHI,259
Chile,chile,CHL,40
China,china,CHN,351
Colombia,colombia,COL,44
Comoros,comoros,COM,45
Costa Rica,costa_rica,CRI,48
Cote d'Ivoire,cote_divoire,CIV,107
Croatia,croatia,HRV,98
Cuba,cuba,CUB,49
Curacao,curacao,CUW,279
Cyprus,cyprus,CYP,50
Czechia,czechia,CZE,167
Democratic People's Republic of Korea,democratic_peoples_republic_of_korea,PRK,116
Democratic Republic of the Congo,democratic_republic_of_the_congo,COD,250
Denmark,denmark,DNK,54
Djibouti,djibouti,DJI,72
Dominica,dominica,DMA,55
Dominican Republic,dominican_republic,DOM,56
Ecuador,ecuador,ECU,58
Egypt,egypt,EGY,59
El Salvador,el_salvador,SLV,60
Equatorial Guinea,equatorial_guinea,GNQ,61
Eritrea,eritrea,ERI,178
Estonia,estonia,EST,63
Eswatini,eswatini,SWZ,209
Ethiopia,ethiopia,ETH,238
Faroe Islands,faroe_islands,FRO,64
Fiji,fiji,FJI,66
Finland,finland,FIN,67
France,france,FRA,68
French Polynesia,french_polynesia,PYF,70
Gabon,gabon,GAB,74
Gambia,gambia,GMB,75
Georgia,georgia,GEO,73
Germany,germany,DEU,79
Ghana,ghana,GHA,81
Gibraltar,gibraltar,GIB,82
Greece,greece,GRC,84
Greenland,greenland,GRL,85
Grenada,grenada,GRD,86
Guam,guam,GUM,88
Guatemala,guatemala,GTM,89
Guinea,guinea,GIN,90
Guinea-Bissau,guinea_bissau,GNB,175
Guyana,guyana,GUY,91
Haiti,haiti,HTI,93
Honduras,honduras,HND,95
"Hong Kong SAR, China",hong_kong,HKG,96
Hungary,hungary,HUN,97
Iceland,iceland,ISL,99
India,india,IND,100
Indonesia,indonesia,IDN,101
Iran,iran,IRN,102
Iraq,iraq,IRQ,103
Ireland,ireland,IRL,104
Isle of Man,isle_of_man,IMN,264
Israel,israel,ISR,105
Italy,italy,ITA,106
Jamaica,jamaica,JAM,109
Japan,japan,JPN,110
Jordan,jordan,JOR,112
Kazakhstan,kazakhstan,KAZ,108
Kenya,kenya,KEN,114
Kiribati,kiribati,KIR,83
Kosovo,kosovo,XKX,-999
Kuwait,kuwait,KWT,118
Kyrgyzstan,kyrgyzstan,KGZ,113
Lao People's Democratic Republic,lao,LAO,120
Latvia,latvia,LVA,119
Lebanon,lebanon,LBN,121
Lesotho,lesotho,LSO,122
Liberia,liberia,LBR,123
Libya,libya,LBY,124
Liechtenstein,liechtenstein,LIE,125
Lithuania,lithuania,LTU,126
Luxembourg,luxembourg,LUX,256
"Macao SAR, China",macao,MAC,128
Madagascar,madagascar,MDG,129
Malawi,malawi,MWI,130
Malaysia,malaysia,MYS,131
Maldives,maldives,MDV,132
Mali,mali,MLI,133
Malta,malta,MLT,134
Marshall Islands,marshall_islands,MHL,127
Mauritania,mauritania,MRT,136
Mauritius,mauritius,MUS,137
Mexico,mexico,MEX,138
Micronesia (Federated States of),micronesia,FSM,145
Monaco,monaco,MCO,140
Mongolia,mongolia,MNG,141
Montenegro,montenegro,MNE,273
Morocco,morocco,MAR,143
Mozambique,mozambique,MOZ,144
Myanmar,myanmar,MMR,28
Namibia,namibia,NAM,147
Nauru,nauru,NRU,148
Nepal,nepal,NPL,149
Netherlands,netherlands,NLD,150
New Caledonia,new_caledonia,NCL,153
