year,iso_code3,prodinit_ippu_cement_tonne,prodinit_ippu_chemicals_tonne,prodinit_ippu_electronics_tonne,prodinit_ippu_glass_tonne,prodinit_ippu_lime_and_carbonite_tonne,prodinit_ippu_metals_tonne,prodinit_ippu_mining_tonne,prodinit_ippu_paper_tonne,prodinit_ippu_plastic_tonne,prodinit_ippu_rubber_and_leather_tonne,prodinit_ippu_textiles_tonne
2010,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2011,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2012,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2013,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2014,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2015,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2016,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2017,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2018,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2019,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2020,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2021,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2022,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2023,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
