year,time_period,iso_code3,nemomod_entc_frac_min_share_production_pp_biomass,nemomod_entc_frac_min_share_production_pp_coal,nemomod_entc_frac_min_share_production_pp_gas,nemomod_entc_frac_min_share_production_pp_geothermal,nemomod_entc_frac_min_share_production_pp_hydropower,nemomod_entc_frac_min_share_production_pp_nuclear,nemomod_entc_frac_min_share_production_pp_ocean,nemomod_entc_frac_min_share_production_pp_oil,nemomod_entc_frac_min_share_production_pp_solar
2010,-5,ABW,0,0.07471365029059651,0.19381996360847517,0.0,0.6851883674850829,0.0,0.0,0.02781687656166131,0.000129745992238095
2011,-4,ABW,0,0.07471365029059651,0.19381996360847517,0.0,0.6851883674850829,0.0,0.0,0.02781687656166131,0.000129745992238095
2012,-3,ABW,0,0.07471365029059651,0.19381996360847517,0.0,0.6851883674850829,0.0,0.0,0.02781687656166131,0.000129745992238095
2013,-2,ABW,0,0.07471365029059651,0.19381996360847517,0.0,0.6851883674850829,0.0,0.0,0.02781687656166131,0.000129745992238095
2014,-1,ABW,0,0.07471365029059651,0.19381996360847517,0.0,0.6851883674850829,0.0,0.0,0.02781687656166131,0.000129745992238095
2015,0,ABW,0,0.08748476766600666,0.22154988415740887,0.0,0.6303117223955869,0.0,0.0,0.043618985475638604,0.00011763932907215202
2016,1,ABW,0,0.07831907336702672,0.20047665758803768,0.0,0.6512400617718045,0.0,0.0,0.05140555959141761,0.00012023816806433401
2017,2,ABW,0,0.03859110981532854,0.1334579098960236,0.0,0.7836016817564585,0.0,0.0,0.026848170017195194,0.00018411099736327256
2018,3,ABW,0,0.05698989151316631,0.1457129978304086,0.0,0.749404132464255,0.0,0.0,0.029351032559691532,0.00026260252371508786
2019,4,ABW,0,0.10170167114141555,0.1640336993446918,0.0,0.6790506287341992,0.0,0.0,0.033948165854081544,0.0017087540778042906
2020,5,ABW,0,0.11788800628589018,0.19101780855172468,0.0,0.6285182684798444,0.0,0.0,0.033037316676024726,0.0025252181507185254
2021,6,ABW,0,0.053796104681972275,0.16344759416258822,0.0,0.7187508362201624,0.0,0.0,0.03336866765871935,0.003980346778622673
2022,7,ABW,0,0.03672930613045603,0.16087768917097636,0.0,0.7389440746838123,0.0,0.0,0.03222009666445905,0.005585629310414301
2023,8,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2024,9,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2025,10,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2026,11,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2027,12,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2028,13,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2029,14,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2030,15,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2031,16,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2032,17,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2033,18,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2034,19,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2035,20,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2036,21,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2037,22,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2038,23,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2039,24,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2040,25,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2041,26,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2042,27,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2043,28,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2044,29,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2045,30,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2046,31,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2047,32,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2048,33,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2049,34,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2050,35,ABW,0,0.0718015089879843,0.174932689367815,0.0,0.6961121971101341,0.0,0.0,0.03462387456209877,0.0016238094808903036
2010,-5,AFG,0,0.7791634114072247,0.04627176196607518,0.0,0.11673272420283252,0.030836332938376027,0.0,0.007941473238784687,0.006326226302925109
2011,-4,AFG,0,0.7791634114072247,0.04627176196607518,0.0,0.11673272420283252,0.030836332938376027,0.0,0.007941473238784687,0.006326226302925109
2012,-3,AFG,0,0.7791634114072247,0.04627176196607518,0.0,0.11673272420283252,0.030836332938376027,0.0,0.007941473238784687,0.006326226302925109
2013,-2,AFG,0,0.7791634114072247,0.04627176196607518,0.0,0.11673272420283252,0.030836332938376027,0.0,0.007941473238784687,0.006326226302925109
2014,-1,AFG,0,0.7791634114072247,0.04627176196607518,0.0,0.11673272420283252,0.030836332938376027,0.0,0.007941473238784687,0.006326226302925109
2015,0,AFG,0,0.7791634114072247,0.04627176196607518,0.0,0.11673272420283252,0.030836332938376027,0.0,0.007941473238784687,0.006326226302925109
2016,1,AFG,0,0.7712930697191429,0.051049893833941984,0.0,0.10264541510641449,0.027397708241269997,0.0,0.008217093040902575,0.012187127740827228
2017,2,AFG,0,0.7748183465998608,0.05117128073865066,0.0,0.10496424898446435,0.026158111582344993,0.0,0.00687129180566747,0.017068402702347638
2018,3,AFG,0,0.7807872199509023,0.044308350616585404,0.0,0.10003137684121381,0.02522034784929376,0.0,0.004596219621466129,0.025091054883387642
