iso_code3,year,time_period,frac_enfu_transmission_loss_fuel_electricity
ARG,2010,-5,0.134253530571677
ARG,2011,-4,0.14434796032573
ARG,2012,-3,0.13599799449962
ARG,2013,-2,0.160183494154359
ARG,2014,-1,0.146573815349423
ARG,2015,0,0.1442713589801618
ARG,2016,1,0.1442713589801618
ARG,2017,2,0.1442713589801618
ARG,2018,3,0.1442713589801618
ARG,2019,4,0.1442713589801618
ARG,2020,5,0.1442713589801618
ARG,2021,6,0.1442713589801618
ARG,2022,7,0.1442713589801618
ARG,2023,8,0.1442713589801618
ARG,2024,9,0.1442713589801618
ARG,2025,10,0.1442713589801618
ARG,2026,11,0.1442713589801618
ARG,2027,12,0.1442713589801618
ARG,2028,13,0.1442713589801618
ARG,2029,14,0.1442713589801618
ARG,2030,15,0.1442713589801618
ARG,2031,16,0.1442713589801618
ARG,2032,17,0.1442713589801618
ARG,2033,18,0.1442713589801618
ARG,2034,19,0.1442713589801618
ARG,2035,20,0.1442713589801618
ARG,2036,21,0.1442713589801618
ARG,2037,22,0.1442713589801618
ARG,2038,23,0.1442713589801618
ARG,2039,24,0.1442713589801618
ARG,2040,25,0.1442713589801618
ARG,2041,26,0.1442713589801618
ARG,2042,27,0.1442713589801618
ARG,2043,28,0.1442713589801618
ARG,2044,29,0.1442713589801618
ARG,2045,30,0.1442713589801618
ARG,2046,31,0.1442713589801618
ARG,2047,32,0.1442713589801618
ARG,2048,33,0.1442713589801618
ARG,2049,34,0.1442713589801618
ARG,2050,35,0.1442713589801618
BOL,2010,-5,0.11553784860557799
BOL,2011,-4,0.11024930747922401
BOL,2012,-3,0.11343166688421899
BOL,2013,-2,0.0902665840049597
BOL,2014,-1,0.09194745859508849
BOL,2015,0,0.10428657311381383
BOL,2016,1,0.10428657311381383
BOL,2017,2,0.10428657311381383
BOL,2018,3,0.10428657311381383
BOL,2019,4,0.10428657311381383
BOL,2020,5,0.10428657311381383
BOL,2021,6,0.10428657311381383
BOL,2022,7,0.10428657311381383
BOL,2023,8,0.10428657311381383
BOL,2024,9,0.10428657311381383
