time_period,iso_code3,nemomod_entc_total_annual_max_capacity_pp_hydropower_gw
0,ARG,11.4996665
1,ARG,11.4996665
2,ARG,11.4996665
3,ARG,11.4996665
4,ARG,11.4996665
5,ARG,11.4996665
6,ARG,11.4996665
7,ARG,11.4996665
8,ARG,11.4996665
9,ARG,11.4996665
10,ARG,11.4996665
11,ARG,11.4996665
12,ARG,11.4996665
13,ARG,11.4996665
14,ARG,11.4996665
15,ARG,11.4996665
16,ARG,11.4996665
17,ARG,11.4996665
18,ARG,11.4996665
19,ARG,11.4996665
20,ARG,11.4996665
21,ARG,11.4996665
22,ARG,11.4996665
23,ARG,11.4996665
24,ARG,11.4996665
25,ARG,11.4996665
26,ARG,11.4996665
27,ARG,11.4996665
28,ARG,11.4996665
29,ARG,11.4996665
30,ARG,11.4996665
31,ARG,11.4996665
32,ARG,11.4996665
33,ARG,11.4996665
34,ARG,11.4996665
35,ARG,11.4996665
0,BOL,0.516465
1,BOL,0.516465
2,BOL,0.516465
3,BOL,0.516465
4,BOL,0.516465
5,BOL,0.516465
6,BOL,0.516465
7,BOL,0.516465
8,BOL,0.516465
9,BOL,0.516465
10,BOL,0.516465
11,BOL,0.516465
12,BOL,0.516465
13,BOL,0.516465
14,BOL,0.516465
15,BOL,0.516465
16,BOL,0.516465
17,BOL,0.516465
18,BOL,0.516465
19,BOL,0.516465
20,BOL,0.516465
21,BOL,0.516465
22,BOL,0.516465
23,BOL,0.516465
24,BOL,0.516465
25,BOL,0.516465
26,BOL,0.516465
27,BOL,0.516465
28,BOL,0.516465
29,BOL,0.516465
30,BOL,0.516465
31,BOL,0.516465
32,BOL,0.516465
33,BOL,0.516465
34,BOL,0.516465
35,BOL,0.516465
0,BRA,112.615321935
1,BRA,112.615321935
2,BRA,112.615321935
3,BRA,112.615321935
4,BRA,112.615321935
5,BRA,112.615321935
6,BRA,112.615321935
7,BRA,112.615321935
8,BRA,112.615321935
9,BRA,112.615321935
10,BRA,112.615321935
11,BRA,112.615321935
12,BRA,112.615321935
13,BRA,112.615321935
14,BRA,112.615321935
15,BRA,112.615321935
16,BRA,112.615321935
17,BRA,112.615321935
18,BRA,112.615321935
19,BRA,112.615321935
20,BRA,112.615321935
21,BRA,112.615321935
22,BRA,112.615321935
23,BRA,112.615321935
24,BRA,112.615321935
25,BRA,112.615321935
26,BRA,112.615321935
27,BRA,112.615321935
28,BRA,112.615321935
29,BRA,112.615321935
30,BRA,112.615321935
31,BRA,112.615321935
32,BRA,112.615321935
33,BRA,112.615321935
34,BRA,112.615321935
35,BRA,112.615321935
0,CHL,7.3577
1,CHL,7.3577
2,CHL,7.3577
3,CHL,7.3577
4,CHL,7.3577
5,CHL,7.3577
6,CHL,7.3577
7,CHL,7.3577
8,CHL,7.3577
9,CHL,7.3577
10,CHL,7.3577
11,CHL,7.3577
12,CHL,7.3577
13,CHL,7.3577
14,CHL,7.3577
15,CHL,7.3577
16,CHL,7.3577
17,CHL,7.3577
18,CHL,7.3577
19,CHL,7.3577
20,CHL,7.3577
21,CHL,7.3577
22,CHL,7.3577
23,CHL,7.3577
24,CHL,7.3577
25,CHL,7.3577
26,CHL,7.3577
27,CHL,7.3577
28,CHL,7.3577
29,CHL,7.3577
30,CHL,7.3577
31,CHL,7.3577
32,CHL,7.3577
33,CHL,7.3577
34,CHL,7.3577
35,CHL,7.3577
0,COL,7.698099999999999
1,COL,7.698099999999999
2,COL,7.698099999999999
3,COL,7.698099999999999
4,COL,7.698099999999999
5,COL,7.698099999999999
6,COL,7.698099999999999
7,COL,7.698099999999999
8,COL,7.698099999999999
9,COL,7.698099999999999
10,COL,7.698099999999999
11,COL,7.698099999999999
12,COL,7.698099999999999
13,COL,7.698099999999999
14,COL,7.698099999999999
15,COL,7.698099999999999
16,COL,7.698099999999999
17,COL,7.698099999999999
18,COL,7.698099999999999
19,COL,7.698099999999999
20,COL,7.698099999999999
21,COL,7.698099999999999
22,COL,7.698099999999999
23,COL,7.698099999999999
24,COL,7.698099999999999
25,COL,7.698099999999999
26,COL,7.698099999999999
27,COL,7.698099999999999
28,COL,7.698099999999999
29,COL,7.698099999999999
30,COL,7.698099999999999
31,COL,7.698099999999999
32,COL,7.698099999999999
33,COL,7.698099999999999
34,COL,7.698099999999999
35,COL,7.698099999999999
0,CRI,1.4927
1,CRI,1.4927
2,CRI,1.4927
3,CRI,1.4927
4,CRI,1.4927
5,CRI,1.4927
6,CRI,1.4927
7,CRI,1.4927
8,CRI,1.4927
9,CRI,1.4927
10,CRI,1.4927
11,CRI,1.4927
12,CRI,1.4927
13,CRI,1.4927
14,CRI,1.4927
15,CRI,1.4927
16,CRI,1.4927
17,CRI,1.4927
18,CRI,1.4927
19,CRI,1.4927
20,CRI,1.4927
21,CRI,1.4927
22,CRI,1.4927
23,CRI,1.4927
24,CRI,1.4927
25,CRI,1.4927
26,CRI,1.4927
27,CRI,1.4927
28,CRI,1.4927
29,CRI,1.4927
30,CRI,1.4927
31,CRI,1.4927
