year,country,nemomod_entc_residual_capacity_pp_biomass_gw,nemomod_entc_residual_capacity_pp_coal_gw,nemomod_entc_residual_capacity_pp_gas_gw,nemomod_entc_residual_capacity_pp_geothermal_gw,nemomod_entc_residual_capacity_pp_hydropower_gw,nemomod_entc_residual_capacity_pp_nuclear_gw,nemomod_entc_residual_capacity_pp_oil_gw,nemomod_entc_residual_capacity_pp_solar_gw,nemomod_entc_residual_capacity_pp_waste_incineration_gw,nemomod_entc_residual_capacity_pp_wind_gw
1943,argentina,0.0,0.0,0.0,0.0,0.0108,0.0,0.005052,0.0,0.0,0.0
1944,argentina,0.0,0.0,0.0,0.0,0.0368,0.0,0.005052,0.0,0.0,0.0
1945,argentina,0.0,0.0,0.0,0.0,0.0368,0.0,0.005052,0.0,0.0,0.0
1946,argentina,0.0,0.0,0.0,0.0,0.0368,0.0,0.005052,0.0,0.0,0.0
1947,argentina,0.0,0.0,0.0,0.0,0.0368,0.0,0.005052,0.0,0.0,0.0
1948,argentina,0.0,0.0,0.0,0.0,0.0368,0.0,0.005052,0.0,0.0,0.0
1949,argentina,0.0,0.0,0.0,0.0,0.0368,0.0,0.005052,0.0,0.0,0.0
1950,argentina,0.0,0.0,0.0,0.0,0.0428,0.0,0.005052,0.0,0.0,0.0
1951,argentina,0.0,0.0,0.0,0.0,0.0428,0.0,0.005052,0.0,0.0,0.0
1952,argentina,0.0,0.0,0.0,0.0,0.0428,0.0,0.005052,0.0,0.0,0.0
1953,argentina,0.0,0.0,0.0,0.0,0.06008,0.0,0.005052,0.0,0.0,0.0
1954,argentina,0.0,0.0,0.0,0.0,0.06586,0.0,0.005052,0.0,0.0,0.0
1955,argentina,0.0,0.0,0.0,0.0,0.06586,0.0,0.011052,0.0,0.0,0.0
1956,argentina,0.0,0.0,0.0,0.0,0.08986,0.0,0.011052,0.0,0.0,0.0
1957,argentina,0.0,0.0,0.0,0.0,0.22313999999999998,0.0,0.011052,0.0,0.0,0.0
1958,argentina,0.0,0.0,0.0,0.0,0.24364,0.0,0.011052,0.0,0.0,0.0
1959,argentina,0.0,0.0,0.0,0.0,0.24364,0.0,0.011052,0.0,0.0,0.0
1960,argentina,0.0,0.0,0.0,0.0,0.24364,0.0,0.011052,0.0,0.0,0.0
1961,argentina,0.0,0.0,0.0,0.0,0.24364,0.0,0.011052,0.0,0.0,0.0
1962,argentina,0.0,0.226,0.0,0.0,0.25683999999999996,0.0,0.011052,0.0,0.0,0.0
1963,argentina,0.0,0.226,0.0,0.0,0.32454,0.0,0.011052,0.0,0.0,0.0
1964,argentina,0.0,0.226,0.0,0.0,0.32454,0.0,0.011052,0.0,0.0,0.0
1965,argentina,0.0,1.459,0.0,0.0,0.34694,0.0,0.011052,0.0,0.0,0.0
