r,f,l,val
argentina,fuel_electricity,dec_feb_wd0,0.0462459112324079
argentina,fuel_electricity,dec_feb_wd12,0.05044631171411646
argentina,fuel_electricity,dec_feb_wd18,0.048107037295647144
argentina,fuel_electricity,dec_feb_wd6,0.04592735319192259
argentina,fuel_electricity,dec_feb_we0,0.017635212283464978
argentina,fuel_electricity,dec_feb_we12,0.019236974519227543
argentina,fuel_electricity,dec_feb_we18,0.018344925906504436
argentina,fuel_electricity,dec_feb_we6,0.017513734762126264
argentina,fuel_electricity,jun_aug_wd0,0.04620534234090794
argentina,fuel_electricity,jun_aug_wd12,0.050402058051641996
argentina,fuel_electricity,jun_aug_wd18,0.048064835744754925
argentina,fuel_electricity,jun_aug_wd6,0.04588706375316205
argentina,fuel_electricity,jun_aug_we0,0.017619741920904465
argentina,fuel_electricity,jun_aug_we12,0.019220099022318506
argentina,fuel_electricity,jun_aug_we18,0.018328832952795825
argentina,fuel_electricity,jun_aug_we6,0.017498370964843666
argentina,fuel_electricity,mar_may_wd0,0.04197129346730461
argentina,fuel_electricity,mar_may_wd12,0.0457834411058715
argentina,fuel_electricity,mar_may_wd18,0.04366039129451152
argentina,fuel_electricity,mar_may_wd6,0.04168218049175124
argentina,fuel_electricity,mar_may_we0,0.01600514835544705
argentina,fuel_electricity,mar_may_we12,0.017458855960519066
argentina,fuel_electricity,mar_may_we18,0.016649261487971054
argentina,fuel_electricity,mar_may_we6,0.01589489928559599
argentina,fuel_electricity,sep_nov_wd0,0.0411120955292874
argentina,fuel_electricity,sep_nov_wd12,0.044846204367524595
argentina,fuel_electricity,sep_nov_wd18,0.042766615690419375
argentina,fuel_electricity,sep_nov_wd6,0.04082890101018196
argentina,fuel_electricity,sep_nov_we0,0.015677505594678384
argentina,fuel_electricity,sep_nov_we12,0.01710145422704371
argentina,fuel_electricity,sep_nov_we18,0.016308433032180963
argentina,fuel_electricity,sep_nov_we6,0.015569513442964904
bahamas,fuel_electricity,dec_feb_wd0,0.038970963389838714
bahamas,fuel_electricity,dec_feb_wd12,0.042510598549640975
bahamas,fuel_electricity,dec_feb_wd18,0.04053931556934003
bahamas,fuel_electricity,dec_feb_wd6,0.038702517739132365
bahamas,fuel_electricity,dec_feb_we0,0.014861015686708608
bahamas,fuel_electricity,dec_feb_we12,0.016210804582324212
bahamas,fuel_electricity,dec_feb_we18,0.01545908420527979
bahamas,fuel_electricity,dec_feb_we6,0.0147586478035678
bahamas,fuel_electricity,jun_aug_wd0,0.048778868346442544
bahamas,fuel_electricity,jun_aug_wd12,0.05320933098928942
bahamas,fuel_electricity,jun_aug_wd18,0.05074193104313478
bahamas,fuel_electricity,jun_aug_wd6,0.048442862409843246
bahamas,fuel_electricity,jun_aug_we0,0.018601119003011046
bahamas,fuel_electricity,jun_aug_we12,0.020290612130909727
bahamas,fuel_electricity,jun_aug_we18,0.01934970469327761
bahamas,fuel_electricity,jun_aug_we6,0.018472987977747976
bahamas,fuel_electricity,mar_may_wd0,0.04417631100861235
bahamas,fuel_electricity,mar_may_wd12,0.048188734876922865
bahamas,fuel_electricity,mar_may_wd18,0.045954147829314354
bahamas,fuel_electricity,mar_may_wd6,0.04387200909962734
bahamas,fuel_electricity,mar_may_we0,0.016846000041432985
bahamas,fuel_electricity,mar_may_we12,0.01837608010263655
bahamas,fuel_electricity,mar_may_we18,0.01752395251123899
bahamas,fuel_electricity,mar_may_we6,0.01672995889054625
bahamas,fuel_electricity,sep_nov_wd0,0.04360849982501424
bahamas,fuel_electricity,sep_nov_wd12,0.047569350823301305
bahamas,fuel_electricity,sep_nov_wd18,0.045363485583543806
bahamas,fuel_electricity,sep_nov_wd6,0.0433081091984149
bahamas,fuel_electricity,sep_nov_we0,0.01662947342334224
bahamas,fuel_electricity,sep_nov_we12,0.018139886913238333
bahamas,fuel_electricity,sep_nov_we18,0.01729871196965588
bahamas,fuel_electricity,sep_nov_we6,0.016514923783668794
barbados,fuel_electricity,dec_feb_wd0,0.042933443510648275
barbados,fuel_electricity,dec_feb_wd12,0.04683298083184519
barbados,fuel_electricity,dec_feb_wd18,0.04466126222094936
barbados,fuel_electricity,dec_feb_wd6,0.042637702908472526
barbados,fuel_electricity,dec_feb_we0,0.016372050419018458
barbados,fuel_electricity,dec_feb_we12,0.017859082821104856
barbados,fuel_electricity,dec_feb_we18,0.017030929202709703
barbados,fuel_electricity,dec_feb_we6,0.016259273999196196
barbados,fuel_electricity,jun_aug_wd0,0.04464932856438484
barbados,fuel_electricity,jun_aug_wd12,0.04870471543453001
barbados,fuel_electricity,jun_aug_wd18,0.046446201560998567
barbados,fuel_electricity,jun_aug_wd6,0.04434176834473698
barbados,fuel_electricity,jun_aug_we0,0.017026378474629646
barbados,fuel_electricity,jun_aug_we12,0.018572841857893437
barbados,fuel_electricity,jun_aug_we18,0.01771159011598882
barbados,fuel_electricity,jun_aug_we6,0.01690909481389299
barbados,fuel_electricity,mar_may_wd0,0.04383525314600997
barbados,fuel_electricity,mar_may_wd12,0.04781669958145801
barbados,fuel_electricity,mar_may_wd18,0.04559936439270454
barbados,fuel_electricity,mar_may_wd6,0.043533300563084444
barbados,fuel_electricity,mar_may_we0,0.01671594253693899
barbados,fuel_electricity,mar_may_we12,0.018234209800211492
barbados,fuel_electricity,mar_may_we18,0.017388660956752615
barbados,fuel_electricity,mar_may_we6,0.016600797267713532
barbados,fuel_electricity,sep_nov_wd0,0.04411661734886476
barbados,fuel_electricity,sep_nov_wd12,0.048123619391321336
barbados,fuel_electricity,sep_nov_wd18,0.0458920518506805
barbados,fuel_electricity,sep_nov_wd6,0.043812726630723914
barbados,fuel_electricity,sep_nov_we0,0.016823236723907783
barbados,fuel_electricity,sep_nov_we12,0.018351249249899042
barbados,fuel_electricity,sep_nov_we18,0.01750027310400114
barbados,fuel_electricity,sep_nov_we6,0.016707352374728108
belize,fuel_electricity,dec_feb_wd0,0.042933443510648275
belize,fuel_electricity,dec_feb_wd12,0.04683298083184519
belize,fuel_electricity,dec_feb_wd18,0.04466126222094936
belize,fuel_electricity,dec_feb_wd6,0.042637702908472526
belize,fuel_electricity,dec_feb_we0,0.016372050419018458
belize,fuel_electricity,dec_feb_we12,0.017859082821104856
belize,fuel_electricity,dec_feb_we18,0.017030929202709703
belize,fuel_electricity,dec_feb_we6,0.016259273999196196
belize,fuel_electricity,jun_aug_wd0,0.04464932856438484
belize,fuel_electricity,jun_aug_wd12,0.04870471543453001
belize,fuel_electricity,jun_aug_wd18,0.046446201560998567
belize,fuel_electricity,jun_aug_wd6,0.04434176834473698
belize,fuel_electricity,jun_aug_we0,0.017026378474629646
belize,fuel_electricity,jun_aug_we12,0.018572841857893437
belize,fuel_electricity,jun_aug_we18,0.01771159011598882
belize,fuel_electricity,jun_aug_we6,0.01690909481389299
belize,fuel_electricity,mar_may_wd0,0.04383525314600997
belize,fuel_electricity,mar_may_wd12,0.04781669958145801
belize,fuel_electricity,mar_may_wd18,0.04559936439270454
belize,fuel_electricity,mar_may_wd6,0.043533300563084444
belize,fuel_electricity,mar_may_we0,0.01671594253693899
belize,fuel_electricity,mar_may_we12,0.018234209800211492
belize,fuel_electricity,mar_may_we18,0.017388660956752615
belize,fuel_electricity,mar_may_we6,0.016600797267713532
belize,fuel_electricity,sep_nov_wd0,0.04411661734886476
belize,fuel_electricity,sep_nov_wd12,0.048123619391321336
belize,fuel_electricity,sep_nov_wd18,0.0458920518506805
belize,fuel_electricity,sep_nov_wd6,0.043812726630723914
belize,fuel_electricity,sep_nov_we0,0.016823236723907783
belize,fuel_electricity,sep_nov_we12,0.018351249249899042
belize,fuel_electricity,sep_nov_we18,0.01750027310400114
belize,fuel_electricity,sep_nov_we6,0.016707352374728108
bolivia,fuel_electricity,dec_feb_wd0,0.044596892867972845
bolivia,fuel_electricity,dec_feb_wd12,0.04864751713492569
bolivia,fuel_electricity,dec_feb_wd18,0.04639165563605748
bolivia,fuel_electricity,dec_feb_wd6,0.0442896938437746
bolivia,fuel_electricity,dec_feb_we0,0.01700638287690405
bolivia,fuel_electricity,dec_feb_we12,0.018551030110024392
bolivia,fuel_electricity,dec_feb_we18,0.017690789813002032
bolivia,fuel_electricity,dec_feb_we6,0.016889236952850703
bolivia,fuel_electricity,jun_aug_wd0,0.04489339036490568
bolivia,fuel_electricity,jun_aug_wd12,0.04897094475812814
bolivia,fuel_electricity,jun_aug_wd18,0.046700085414234684
bolivia,fuel_electricity,jun_aug_wd6,0.04458414896206001
bolivia,fuel_electricity,jun_aug_we0,0.01711944792764225
bolivia,fuel_electricity,jun_aug_we12,0.01867436457660778
bolivia,fuel_electricity,jun_aug_we18,0.017808405067361758
bolivia,fuel_electricity,jun_aug_we6,0.01700152317190302
bolivia,fuel_electricity,mar_may_wd0,0.04301763491814879
bolivia,fuel_electricity,mar_may_wd12,0.04692481913437269
bolivia,fuel_electricity,mar_may_wd18,0.04474884183766934
bolivia,fuel_electricity,mar_may_wd6,0.042721314376058694
bolivia,fuel_electricity,mar_may_we0,0.01640415559986902
bolivia,fuel_electricity,mar_may_we12,0.017894104035254713
bolivia,fuel_electricity,mar_may_we18,0.01706432642835414
bolivia,fuel_electricity,mar_may_we6,0.016291158028311853
bolivia,fuel_electricity,sep_nov_wd0,0.04302672441888052
bolivia,fuel_electricity,sep_nov_wd12,0.04693473421172805
bolivia,fuel_electricity,sep_nov_wd18,0.04475829713737146
bolivia,fuel_electricity,sep_nov_wd6,0.042730341265124545
bolivia,fuel_electricity,sep_nov_we0,0.016407621750079555
bolivia,fuel_electricity,sep_nov_we12,0.01789788500722194
bolivia,fuel_electricity,sep_nov_we18,0.017067932070734343
bolivia,fuel_electricity,sep_nov_we6,0.01629460030246525
brazil,fuel_electricity,dec_feb_wd0,0.04371478463153823
brazil,fuel_electricity,dec_feb_wd12,0.04768528921304216
brazil,fuel_electricity,dec_feb_wd18,0.04547404772871842
brazil,fuel_electricity,dec_feb_wd6,0.04341366187795086
brazil,fuel_electricity,dec_feb_we0,0.01667000360375404
brazil,fuel_electricity,dec_feb_we12,0.0181840983485933
brazil,fuel_electricity,dec_feb_we18,0.017340873251566215
brazil,fuel_electricity,dec_feb_we6,0.01655517477799671
brazil,fuel_electricity,jun_aug_wd0,0.043360589382528965
brazil,fuel_electricity,jun_aug_wd12,0.047298923295212444
brazil,fuel_electricity,jun_aug_wd18,0.04510559820312903
brazil,fuel_electricity,jun_aug_wd6,0.04306190644992179
brazil,fuel_electricity,jun_aug_we0,0.016534936346138927
brazil,fuel_electricity,jun_aug_we12,0.01803676326969776
brazil,fuel_electricity,jun_aug_we18,0.01720037033084622
brazil,fuel_electricity,jun_aug_we6,0.01642103791097772
brazil,fuel_electricity,mar_may_wd0,0.04336903806600536
brazil,fuel_electricity,mar_may_wd12,0.04730813935148351
brazil,fuel_electricity,mar_may_wd18,0.04511438689644844
brazil,fuel_electricity,mar_may_wd6,0.04307029693590611
brazil,fuel_electricity,mar_may_we0,0.016538158129917244
brazil,fuel_electricity,mar_may_we12,0.01804027768004076
brazil,fuel_electricity,mar_may_we18,0.017203721772481854
brazil,fuel_electricity,mar_may_we6,0.016424237501980507
brazil,fuel_electricity,sep_nov_wd0,0.04509023048983528
brazil,fuel_electricity,sep_nov_wd12,0.04918566337941645
brazil,fuel_electricity,sep_nov_wd18,0.04690484719703706
brazil,fuel_electricity,sep_nov_wd6,0.04477963318323908
brazil,fuel_electricity,sep_nov_we0,0.01719451007468466
brazil,fuel_electricity,sep_nov_we12,0.018756244430777
brazil,fuel_electricity,sep_nov_we18,0.017886488024557983
brazil,fuel_electricity,sep_nov_we6,0.01707606826457588
chile,fuel_electricity,dec_feb_wd0,0.043829982739972406
chile,fuel_electricity,dec_feb_wd12,0.04781095047761845
chile,fuel_electricity,dec_feb_wd18,0.04559388188380688
chile,fuel_electricity,dec_feb_wd6,0.04352806646145034
chile,fuel_electricity,dec_feb_we0,0.016713932743493136
chile,fuel_electricity,dec_feb_we12,0.018232017462252337
chile,fuel_electricity,dec_feb_we18,0.017386570280935452
chile,fuel_electricity,dec_feb_we6,0.016598801318429134
chile,fuel_electricity,jun_aug_wd0,0.04511423937128013
chile,fuel_electricity,jun_aug_wd12,0.04921185292752996
chile,fuel_electricity,jun_aug_wd18,0.04692982229482008
chile,fuel_electricity,jun_aug_wd6,0.04480347668309617
chile,fuel_electricity,jun_aug_we0,0.01720366551588336
chile,fuel_electricity,jun_aug_we12,0.018766231437807066
chile,fuel_electricity,jun_aug_we18,0.01789601191844323
chile,fuel_electricity,jun_aug_we6,0.017085160639887666
chile,fuel_electricity,mar_may_wd0,0.043712573221136405
chile,fuel_electricity,mar_may_wd12,0.04768287694576306
chile,fuel_electricity,mar_may_wd18,0.045471747322048055
chile,fuel_electricity,mar_may_wd6,0.04341146570051873
chile,fuel_electricity,mar_may_we0,0.016669160314242756
chile,fuel_electricity,mar_may_we12,0.018183178465204307
chile,fuel_electricity,mar_may_we18,0.017339996024609512
chile,fuel_electricity,mar_may_we6,0.01655433729735906
chile,fuel_electricity,sep_nov_wd0,0.042877847237518876
chile,fuel_electricity,sep_nov_wd12,0.04677233488824308
chile,fuel_electricity,sep_nov_wd18,0.04460342852465794
chile,fuel_electricity,sep_nov_wd6,0.04258248960195259
chile,fuel_electricity,sep_nov_we0,0.01635084958087562
chile,fuel_electricity,sep_nov_we12,0.01783595636384511
chile,fuel_electricity,sep_nov_we18,0.017008875155464075
chile,fuel_electricity,sep_nov_we6,0.016238219199854957
colombia,fuel_electricity,dec_feb_wd0,0.04287287003230567
colombia,fuel_electricity,dec_feb_wd12,0.04676690561592561
colombia,fuel_electricity,dec_feb_wd18,0.04459825101619419
colombia,fuel_electricity,dec_feb_wd6,0.04257754668147284
colombia,fuel_electricity,dec_feb_we0,0.016348951595341887
colombia,fuel_electricity,dec_feb_we12,0.017833885989031167
colombia,fuel_electricity,dec_feb_we18,0.01700690078717022
colombia,fuel_electricity,dec_feb_we6,0.016236334288310613
colombia,fuel_electricity,jun_aug_wd0,0.04444163555505825
colombia,fuel_electricity,jun_aug_wd12,0.04847815818849202
colombia,fuel_electricity,jun_aug_wd18,0.04623015012900262
colombia,fuel_electricity,jun_aug_wd6,0.04413550599763134
colombia,fuel_electricity,jun_aug_we0,0.016947177736409587
colombia,fuel_electricity,jun_aug_we12,0.018486447514658236
colombia,fuel_electricity,jun_aug_we18,0.0176292020136494
colombia,fuel_electricity,jun_aug_we6,0.016830439638108614
colombia,fuel_electricity,mar_may_wd0,0.04331831527504689
colombia,fuel_electricity,mar_may_wd12,0.04725280953625202
colombia,fuel_electricity,mar_may_wd18,0.0450616228113358
colombia,fuel_electricity,mar_may_wd6,0.043019923541304315
colombia,fuel_electricity,mar_may_we0,0.016518815724019628
colombia,fuel_electricity,mar_may_we12,0.01801917845178016
colombia,fuel_electricity,mar_may_we18,0.017183600948454232
colombia,fuel_electricity,mar_may_we6,0.016405028333352018
colombia,fuel_electricity,sep_nov_wd0,0.044901821707497014
colombia,fuel_electricity,sep_nov_wd12,0.0489801418984849
colombia,fuel_electricity,sep_nov_wd18,0.04670885606880034
colombia,fuel_electricity,sep_nov_wd6,0.04459252222660935
colombia,fuel_electricity,sep_nov_we0,0.01712266309872377
colombia,fuel_electricity,sep_nov_we12,0.01867787177363926
colombia,fuel_electricity,sep_nov_we18,0.017811749630178418
colombia,fuel_electricity,sep_nov_we6,0.017004716195759575
costa_rica,fuel_electricity,dec_feb_wd0,0.042994016988990885
costa_rica,fuel_electricity,dec_feb_wd12,0.04689905604776478
costa_rica,fuel_electricity,dec_feb_wd18,0.044724273425704536
costa_rica,fuel_electricity,dec_feb_wd6,0.042697859135472215
costa_rica,fuel_electricity,dec_feb_we0,0.01639514924269503
costa_rica,fuel_electricity,dec_feb_we12,0.017884279653178545
costa_rica,fuel_electricity,dec_feb_we18,0.017054957618249187
costa_rica,fuel_electricity,dec_feb_we6,0.01628221371008178
costa_rica,fuel_electricity,jun_aug_wd0,0.04485702157371142
costa_rica,fuel_electricity,jun_aug_wd12,0.048931272680567996
costa_rica,fuel_electricity,jun_aug_wd18,0.046662252992994514
costa_rica,fuel_electricity,jun_aug_wd6,0.044548030691842606
costa_rica,fuel_electricity,jun_aug_we0,0.017105579212849702
