``$TIME-SLICE$``,description,tg1,tg2,lorder,weight
dec_feb_wd0,summer weekdays from 0:00 to 1:00,summer,weekday,1,0.007440476
dec_feb_wd1,summer weekdays from 1:00 to 2:00,summer,weekday,2,0.007440476
dec_feb_wd2,summer weekdays from 2:00 to 3:00,summer,weekday,3,0.007440476
dec_feb_wd3,summer weekdays from 3:00 to 4:00,summer,weekday,4,0.007440476
dec_feb_wd4,summer weekdays from 4:00 to 5:00,summer,weekday,5,0.007440476
dec_feb_wd5,summer weekdays from 5:00 to 6:00,summer,weekday,6,0.007440476
dec_feb_wd6,summer weekdays from 6:00 to 7:00,summer,weekday,7,0.007440476
dec_feb_wd7,summer weekdays from 7:00 to 8:00,summer,weekday,8,0.007440476
dec_feb_wd8,summer weekdays from 8:00 to 9:00,summer,weekday,9,0.007440476
dec_feb_wd9,summer weekdays from 9:00 to 10:00,summer,weekday,10,0.007440476
dec_feb_wd10,summer weekdays from 10:00 to 11:00,summer,weekday,11,0.007440476
dec_feb_wd11,summer weekdays from 11:00 to 12:00,summer,weekday,12,0.007440476
dec_feb_wd12,summer weekdays from 12:00 to 13:00,summer,weekday,13,0.007440476
dec_feb_wd13,summer weekdays from 13:00 to 14:00,summer,weekday,14,0.007440476
dec_feb_wd14,summer weekdays from 14:00 to 15:00,summer,weekday,15,0.007440476
dec_feb_wd15,summer weekdays from 15:00 to 16:00,summer,weekday,16,0.007440476
dec_feb_wd16,summer weekdays from 16:00 to 17:00,summer,weekday,17,0.007440476
dec_feb_wd17,summer weekdays from 17:00 to 18:00,summer,weekday,18,0.007440476
dec_feb_wd18,summer weekdays from 18:00 to 19:00,summer,weekday,19,0.007440476
dec_feb_wd19,summer weekdays from 19:00 to 20:00,summer,weekday,20,0.007440476
dec_feb_wd20,summer weekdays from 20:00 to 21:00,summer,weekday,21,0.007440476
dec_feb_wd21,summer weekdays from 21:00 to 22:00,summer,weekday,22,0.007440476
dec_feb_wd22,summer weekdays from 22:00 to 23:00,summer,weekday,23,0.007440476
dec_feb_wd23,summer weekdays from 23:00 to 24:00,summer,weekday,24,0.007440476
mar_may_wd0,fall weekdays from 0:00 to 1:00,fall,weekday,1,0.007440476
mar_may_wd1,fall weekdays from 1:00 to 2:00,fall,weekday,2,0.007440476
mar_may_wd2,fall weekdays from 2:00 to 3:00,fall,weekday,3,0.007440476
mar_may_wd3,fall weekdays from 3:00 to 4:00,fall,weekday,4,0.007440476
mar_may_wd4,fall weekdays from 4:00 to 5:00,fall,weekday,5,0.007440476
mar_may_wd5,fall weekdays from 5:00 to 6:00,fall,weekday,6,0.007440476
mar_may_wd6,fall weekdays from 6:00 to 7:00,fall,weekday,7,0.007440476
mar_may_wd7,fall weekdays from 7:00 to 8:00,fall,weekday,8,0.007440476
mar_may_wd8,fall weekdays from 8:00 to 9:00,fall,weekday,9,0.007440476
mar_may_wd9,fall weekdays from 9:00 to 10:00,fall,weekday,10,0.007440476
mar_may_wd10,fall weekdays from 10:00 to 11:00,fall,weekday,11,0.007440476
mar_may_wd11,fall weekdays from 11:00 to 12:00,fall,weekday,12,0.007440476
mar_may_wd12,fall weekdays from 12:00 to 13:00,fall,weekday,13,0.007440476
mar_may_wd13,fall weekdays from 13:00 to 14:00,fall,weekday,14,0.007440476
mar_may_wd14,fall weekdays from 14:00 to 15:00,fall,weekday,15,0.007440476
mar_may_wd15,fall weekdays from 15:00 to 16:00,fall,weekday,16,0.007440476
mar_may_wd16,fall weekdays from 16:00 to 17:00,fall,weekday,17,0.007440476
mar_may_wd17,fall weekdays from 17:00 to 18:00,fall,weekday,18,0.007440476
mar_may_wd18,fall weekdays from 18:00 to 19:00,fall,weekday,19,0.007440476
mar_may_wd19,fall weekdays from 19:00 to 20:00,fall,weekday,20,0.007440476
mar_may_wd20,fall weekdays from 20:00 to 21:00,fall,weekday,21,0.007440476
mar_may_wd21,fall weekdays from 21:00 to 22:00,fall,weekday,22,0.007440476
mar_may_wd22,fall weekdays from 22:00 to 23:00,fall,weekday,23,0.007440476
mar_may_wd23,fall weekdays from 23:00 to 24:00,fall,weekday,24,0.007440476
jun_aug_wd0,winter weekdays from 0:00 to 1:00,winter,weekday,1,0.007440476
jun_aug_wd1,winter weekdays from 1:00 to 2:00,winter,weekday,2,0.007440476
jun_aug_wd2,winter weekdays from 2:00 to 3:00,winter,weekday,3,0.007440476
jun_aug_wd3,winter weekdays from 3:00 to 4:00,winter,weekday,4,0.007440476
jun_aug_wd4,winter weekdays from 4:00 to 5:00,winter,weekday,5,0.007440476
jun_aug_wd5,winter weekdays from 5:00 to 6:00,winter,weekday,6,0.007440476
jun_aug_wd6,winter weekdays from 6:00 to 7:00,winter,weekday,7,0.007440476
jun_aug_wd7,winter weekdays from 7:00 to 8:00,winter,weekday,8,0.007440476
jun_aug_wd8,winter weekdays from 8:00 to 9:00,winter,weekday,9,0.007440476
jun_aug_wd9,winter weekdays from 9:00 to 10:00,winter,weekday,10,0.007440476
jun_aug_wd10,winter weekdays from 10:00 to 11:00,winter,weekday,11,0.007440476
jun_aug_wd11,winter weekdays from 11:00 to 12:00,winter,weekday,12,0.007440476
jun_aug_wd12,winter weekdays from 12:00 to 13:00,winter,weekday,13,0.007440476
jun_aug_wd13,winter weekdays from 13:00 to 14:00,winter,weekday,14,0.007440476
jun_aug_wd14,winter weekdays from 14:00 to 15:00,winter,weekday,15,0.007440476
jun_aug_wd15,winter weekdays from 15:00 to 16:00,winter,weekday,16,0.007440476
jun_aug_wd16,winter weekdays from 16:00 to 17:00,winter,weekday,17,0.007440476
jun_aug_wd17,winter weekdays from 17:00 to 18:00,winter,weekday,18,0.007440476
jun_aug_wd18,winter weekdays from 18:00 to 19:00,winter,weekday,19,0.007440476
jun_aug_wd19,winter weekdays from 19:00 to 20:00,winter,weekday,20,0.007440476
jun_aug_wd20,winter weekdays from 20:00 to 21:00,winter,weekday,21,0.007440476
jun_aug_wd21,winter weekdays from 21:00 to 22:00,winter,weekday,22,0.007440476
jun_aug_wd22,winter weekdays from 22:00 to 23:00,winter,weekday,23,0.007440476
jun_aug_wd23,winter weekdays from 23:00 to 24:00,winter,weekday,24,0.007440476
sep_nov_wd0,spring weekdays from 0:00 to 1:00,spring,weekday,1,0.007440476
sep_nov_wd1,spring weekdays from 1:00 to 2:00,spring,weekday,2,0.007440476
sep_nov_wd2,spring weekdays from 2:00 to 3:00,spring,weekday,3,0.007440476
sep_nov_wd3,spring weekdays from 3:00 to 4:00,spring,weekday,4,0.007440476
sep_nov_wd4,spring weekdays from 4:00 to 5:00,spring,weekday,5,0.007440476
sep_nov_wd5,spring weekdays from 5:00 to 6:00,spring,weekday,6,0.007440476
sep_nov_wd6,spring weekdays from 6:00 to 7:00,spring,weekday,7,0.007440476
sep_nov_wd7,spring weekdays from 7:00 to 8:00,spring,weekday,8,0.007440476
sep_nov_wd8,spring weekdays from 8:00 to 9:00,spring,weekday,9,0.007440476
sep_nov_wd9,spring weekdays from 9:00 to 10:00,spring,weekday,10,0.007440476
