id,r,t,l,y,val
1,1,solar,winterwe0,2020,0.0
2,1,solar,winterwe1,2020,0.0
3,1,solar,winterwe2,2020,0.0
4,1,solar,winterwe3,2020,0.0
5,1,solar,winterwe4,2020,0.0
6,1,solar,winterwe5,2020,0.0
7,1,solar,winterwe6,2020,1.0
8,1,solar,winterwe7,2020,1.0
9,1,solar,winterwe8,2020,1.0
10,1,solar,winterwe9,2020,1.0
11,1,solar,winterwe10,2020,1.0
12,1,solar,winterwe11,2020,1.0
13,1,solar,winterwe12,2020,1.0
14,1,solar,winterwe13,2020,1.0
15,1,solar,winterwe14,2020,1.0
16,1,solar,winterwe15,2020,1.0
17,1,solar,winterwe16,2020,1.0
18,1,solar,winterwe17,2020,1.0
19,1,solar,winterwe18,2020,0.0
20,1,solar,winterwe19,2020,0.0
21,1,solar,winterwe20,2020,0.0
22,1,solar,winterwe21,2020,0.0
23,1,solar,winterwe22,2020,0.0
24,1,solar,winterwe23,2020,0.0
25,1,solar,winterwd0,2020,0.0
26,1,solar,winterwd1,2020,0.0
27,1,solar,winterwd2,2020,0.0
28,1,solar,winterwd3,2020,0.0
29,1,solar,winterwd4,2020,0.0
30,1,solar,winterwd5,2020,0.0
31,1,solar,winterwd6,2020,1.0
32,1,solar,winterwd7,2020,1.0
33,1,solar,winterwd8,2020,1.0
34,1,solar,winterwd9,2020,1.0
35,1,solar,winterwd10,2020,1.0
36,1,solar,winterwd11,2020,1.0
37,1,solar,winterwd12,2020,1.0
38,1,solar,winterwd13,2020,1.0
39,1,solar,winterwd14,2020,1.0
40,1,solar,winterwd15,2020,1.0
41,1,solar,winterwd16,2020,1.0
42,1,solar,winterwd17,2020,1.0
43,1,solar,winterwd18,2020,0.0
44,1,solar,winterwd19,2020,0.0
45,1,solar,winterwd20,2020,0.0
46,1,solar,winterwd21,2020,0.0
47,1,solar,winterwd22,2020,0.0
48,1,solar,winterwd23,2020,0.0
49,1,solar,summerwe0,2020,0.0
50,1,solar,summerwe1,2020,0.0
51,1,solar,summerwe2,2020,0.0
52,1,solar,summerwe3,2020,0.0
53,1,solar,summerwe4,2020,0.0
54,1,solar,summerwe5,2020,0.0
55,1,solar,summerwe6,2020,1.0
56,1,solar,summerwe7,2020,1.0
57,1,solar,summerwe8,2020,1.0
58,1,solar,summerwe9,2020,1.0
59,1,solar,summerwe10,2020,1.0
60,1,solar,summerwe11,2020,1.0
61,1,solar,summerwe12,2020,1.0
62,1,solar,summerwe13,2020,1.0
63,1,solar,summerwe14,2020,1.0
64,1,solar,summerwe15,2020,1.0
65,1,solar,summerwe16,2020,1.0
66,1,solar,summerwe17,2020,1.0
67,1,solar,summerwe18,2020,0.0
68,1,solar,summerwe19,2020,0.0
69,1,solar,summerwe20,2020,0.0
70,1,solar,summerwe21,2020,0.0
71,1,solar,summerwe22,2020,0.0
72,1,solar,summerwe23,2020,0.0
73,1,solar,summerwd0,2020,0.0
