id,r,t,f,m,y,val
1,1,gas,gas,generate,2020,2.0
2,1,gas,gas,generate,2021,2.0
3,1,gas,gas,generate,2022,2.0
4,1,gas,gas,generate,2023,2.0
5,1,gas,gas,generate,2024,2.0
6,1,gas,gas,generate,2025,2.0
7,1,gas,gas,generate,2026,2.0
8,1,gas,gas,generate,2027,2.0
9,1,gas,gas,generate,2028,2.0
10,1,gas,gas,generate,2029,2.0
11,1,solar,solar,generate,2020,1.0
12,1,solar,solar,generate,2021,1.0
13,1,solar,solar,generate,2022,1.0
14,1,solar,solar,generate,2023,1.0
15,1,solar,solar,generate,2024,1.0
16,1,solar,solar,generate,2025,1.0
17,1,solar,solar,generate,2026,1.0
18,1,solar,solar,generate,2027,1.0
19,1,solar,solar,generate,2028,1.0
20,1,solar,solar,generate,2029,1.0
21,1,storage1,electricity,store,2020,1.25
22,1,storage1,electricity,store,2021,1.25
23,1,storage1,electricity,store,2022,1.25
24,1,storage1,electricity,store,2023,1.25
25,1,storage1,electricity,store,2024,1.25
26,1,storage1,electricity,store,2025,1.25
27,1,storage1,electricity,store,2026,1.25
28,1,storage1,electricity,store,2027,1.25
29,1,storage1,electricity,store,2028,1.25
30,1,storage1,electricity,store,2029,1.25
