id,l,lorder,tg2,tg1
1,winterwe0,1,weekend,winter
2,winterwe1,2,weekend,winter
3,winterwe2,3,weekend,winter
4,winterwe3,4,weekend,winter
5,winterwe4,5,weekend,winter
6,winterwe5,6,weekend,winter
7,winterwe6,7,weekend,winter
8,winterwe7,8,weekend,winter
9,winterwe8,9,weekend,winter
10,winterwe9,10,weekend,winter
11,winterwe10,11,weekend,winter
12,winterwe11,12,weekend,winter
13,winterwe12,13,weekend,winter
14,winterwe13,14,weekend,winter
15,winterwe14,15,weekend,winter
16,winterwe15,16,weekend,winter
17,winterwe16,17,weekend,winter
18,winterwe17,18,weekend,winter
19,winterwe18,19,weekend,winter
20,winterwe19,20,weekend,winter
21,winterwe20,21,weekend,winter
22,winterwe21,22,weekend,winter
23,winterwe22,23,weekend,winter
24,winterwe23,24,weekend,winter
25,winterwd0,1,weekday,winter
26,winterwd1,2,weekday,winter
27,winterwd2,3,weekday,winter
28,winterwd3,4,weekday,winter
29,winterwd4,5,weekday,winter
30,winterwd5,6,weekday,winter
31,winterwd6,7,weekday,winter
32,winterwd7,8,weekday,winter
33,winterwd8,9,weekday,winter
34,winterwd9,10,weekday,winter
35,winterwd10,11,weekday,winter
36,winterwd11,12,weekday,winter
37,winterwd12,13,weekday,winter
38,winterwd13,14,weekday,winter
39,winterwd14,15,weekday,winter
40,winterwd15,16,weekday,winter
41,winterwd16,17,weekday,winter
42,winterwd17,18,weekday,winter
43,winterwd18,19,weekday,winter
44,winterwd19,20,weekday,winter
45,winterwd20,21,weekday,winter
46,winterwd21,22,weekday,winter
47,winterwd22,23,weekday,winter
48,winterwd23,24,weekday,winter
49,summerwe0,1,weekend,summer
50,summerwe1,2,weekend,summer
51,summerwe2,3,weekend,summer
52,summerwe3,4,weekend,summer
53,summerwe4,5,weekend,summer
54,summerwe5,6,weekend,summer
55,summerwe6,7,weekend,summer
56,summerwe7,8,weekend,summer
57,summerwe8,9,weekend,summer
58,summerwe9,10,weekend,summer
59,summerwe10,11,weekend,summer
60,summerwe11,12,weekend,summer
61,summerwe12,13,weekend,summer
62,summerwe13,14,weekend,summer
63,summerwe14,15,weekend,summer
64,summerwe15,16,weekend,summer
65,summerwe16,17,weekend,summer
66,summerwe17,18,weekend,summer
67,summerwe18,19,weekend,summer
68,summerwe19,20,weekend,summer
69,summerwe20,21,weekend,summer
70,summerwe21,22,weekend,summer
71,summerwe22,23,weekend,summer
72,summerwe23,24,weekend,summer
73,summerwd0,1,weekday,summer
74,summerwd1,2,weekday,summer
75,summerwd2,3,weekday,summer
76,summerwd3,4,weekday,summer
77,summerwd4,5,weekday,summer
78,summerwd5,6,weekday,summer
79,summerwd6,7,weekday,summer
80,summerwd7,8,weekday,summer
81,summerwd8,9,weekday,summer
82,summerwd9,10,weekday,summer
83,summerwd10,11,weekday,summer
84,summerwd11,12,weekday,summer
85,summerwd12,13,weekday,summer
86,summerwd13,14,weekday,summer
87,summerwd14,15,weekday,summer
88,summerwd15,16,weekday,summer
89,summerwd16,17,weekday,summer
90,summerwd17,18,weekday,summer
91,summerwd18,19,weekday,summer
92,summerwd19,20,weekday,summer
93,summerwd20,21,weekday,summer
94,summerwd21,22,weekday,summer
95,summerwd22,23,weekday,summer
96,summerwd23,24,weekday,summer
