id,r,f,l,y,val
1,1,electricity,winterwe0,2020,0.005952381
2,1,electricity,winterwe1,2020,0.005952381
3,1,electricity,winterwe2,2020,0.005952381
4,1,electricity,winterwe3,2020,0.005952381
5,1,electricity,winterwe4,2020,0.005952381
6,1,electricity,winterwe5,2020,0.005952381
7,1,electricity,winterwe6,2020,0.005952381
8,1,electricity,winterwe7,2020,0.005952381
9,1,electricity,winterwe8,2020,0.005952381
10,1,electricity,winterwe9,2020,0.005952381
11,1,electricity,winterwe10,2020,0.005952381
12,1,electricity,winterwe11,2020,0.005952381
13,1,electricity,winterwe12,2020,0.005952381
14,1,electricity,winterwe13,2020,0.005952381
15,1,electricity,winterwe14,2020,0.005952381
16,1,electricity,winterwe15,2020,0.005952381
17,1,electricity,winterwe16,2020,0.005952381
18,1,electricity,winterwe17,2020,0.005952381
19,1,electricity,winterwe18,2020,0.005952381
20,1,electricity,winterwe19,2020,0.005952381
21,1,electricity,winterwe20,2020,0.005952381
22,1,electricity,winterwe21,2020,0.005952381
23,1,electricity,winterwe22,2020,0.005952381
24,1,electricity,winterwe23,2020,0.005952381
25,1,electricity,winterwd0,2020,0.014880952
26,1,electricity,winterwd1,2020,0.014880952
27,1,electricity,winterwd2,2020,0.014880952
28,1,electricity,winterwd3,2020,0.014880952
29,1,electricity,winterwd4,2020,0.014880952
30,1,electricity,winterwd5,2020,0.014880952
31,1,electricity,winterwd6,2020,0.014880952
32,1,electricity,winterwd7,2020,0.014880952
33,1,electricity,winterwd8,2020,0.014880952
34,1,electricity,winterwd9,2020,0.014880952
35,1,electricity,winterwd10,2020,0.014880952
36,1,electricity,winterwd11,2020,0.014880952
37,1,electricity,winterwd12,2020,0.014880952
38,1,electricity,winterwd13,2020,0.014880952
39,1,electricity,winterwd14,2020,0.014880952
40,1,electricity,winterwd15,2020,0.014880952
41,1,electricity,winterwd16,2020,0.014880952
42,1,electricity,winterwd17,2020,0.014880952
43,1,electricity,winterwd18,2020,0.014880952
44,1,electricity,winterwd19,2020,0.014880952
45,1,electricity,winterwd20,2020,0.014880952
46,1,electricity,winterwd21,2020,0.014880952
47,1,electricity,winterwd22,2020,0.014880952
48,1,electricity,winterwd23,2020,0.014880952
49,1,electricity,summerwe0,2020,0.005952381
50,1,electricity,summerwe1,2020,0.005952381
51,1,electricity,summerwe2,2020,0.005952381
52,1,electricity,summerwe3,2020,0.005952381
53,1,electricity,summerwe4,2020,0.005952381
54,1,electricity,summerwe5,2020,0.005952381
55,1,electricity,summerwe6,2020,0.005952381
56,1,electricity,summerwe7,2020,0.005952381
57,1,electricity,summerwe8,2020,0.005952381
58,1,electricity,summerwe9,2020,0.005952381
59,1,electricity,summerwe10,2020,0.005952381
60,1,electricity,summerwe11,2020,0.005952381
61,1,electricity,summerwe12,2020,0.005952381
62,1,electricity,summerwe13,2020,0.005952381
63,1,electricity,summerwe14,2020,0.005952381
64,1,electricity,summerwe15,2020,0.005952381
65,1,electricity,summerwe16,2020,0.005952381
66,1,electricity,summerwe17,2020,0.005952381
67,1,electricity,summerwe18,2020,0.005952381
68,1,electricity,summerwe19,2020,0.005952381
69,1,electricity,summerwe20,2020,0.005952381
70,1,electricity,summerwe21,2020,0.005952381
71,1,electricity,summerwe22,2020,0.005952381
72,1,electricity,summerwe23,2020,0.005952381
73,1,electricity,summerwd0,2020,0.014880952
74,1,electricity,summerwd1,2020,0.014880952
75,1,electricity,summerwd2,2020,0.014880952
76,1,electricity,summerwd3,2020,0.014880952
77,1,electricity,summerwd4,2020,0.014880952
78,1,electricity,summerwd5,2020,0.014880952
79,1,electricity,summerwd6,2020,0.014880952
80,1,electricity,summerwd7,2020,0.014880952
81,1,electricity,summerwd8,2020,0.014880952
82,1,electricity,summerwd9,2020,0.014880952
83,1,electricity,summerwd10,2020,0.014880952
84,1,electricity,summerwd11,2020,0.014880952
85,1,electricity,summerwd12,2020,0.014880952
86,1,electricity,summerwd13,2020,0.014880952
87,1,electricity,summerwd14,2020,0.014880952
88,1,electricity,summerwd15,2020,0.014880952
89,1,electricity,summerwd16,2020,0.014880952
90,1,electricity,summerwd17,2020,0.014880952
91,1,electricity,summerwd18,2020,0.014880952
92,1,electricity,summerwd19,2020,0.014880952
93,1,electricity,summerwd20,2020,0.014880952
94,1,electricity,summerwd21,2020,0.014880952
95,1,electricity,summerwd22,2020,0.014880952
96,1,electricity,summerwd23,2020,0.0148809680000023
97,1,electricity,winterwe0,2021,0.005952381
98,1,electricity,winterwe1,2021,0.005952381
99,1,electricity,winterwe2,2021,0.005952381
100,1,electricity,winterwe3,2021,0.005952381
101,1,electricity,winterwe4,2021,0.005952381
102,1,electricity,winterwe5,2021,0.005952381
103,1,electricity,winterwe6,2021,0.005952381
104,1,electricity,winterwe7,2021,0.005952381
105,1,electricity,winterwe8,2021,0.005952381
106,1,electricity,winterwe9,2021,0.005952381
107,1,electricity,winterwe10,2021,0.005952381
108,1,electricity,winterwe11,2021,0.005952381
109,1,electricity,winterwe12,2021,0.005952381
110,1,electricity,winterwe13,2021,0.005952381
111,1,electricity,winterwe14,2021,0.005952381
112,1,electricity,winterwe15,2021,0.005952381
113,1,electricity,winterwe16,2021,0.005952381
114,1,electricity,winterwe17,2021,0.005952381
115,1,electricity,winterwe18,2021,0.005952381
116,1,electricity,winterwe19,2021,0.005952381
117,1,electricity,winterwe20,2021,0.005952381
118,1,electricity,winterwe21,2021,0.005952381
119,1,electricity,winterwe22,2021,0.005952381
120,1,electricity,winterwe23,2021,0.005952381
121,1,electricity,winterwd0,2021,0.014880952
122,1,electricity,winterwd1,2021,0.014880952
123,1,electricity,winterwd2,2021,0.014880952
124,1,electricity,winterwd3,2021,0.014880952
125,1,electricity,winterwd4,2021,0.014880952
126,1,electricity,winterwd5,2021,0.014880952
127,1,electricity,winterwd6,2021,0.014880952
128,1,electricity,winterwd7,2021,0.014880952
