id,l,y,val
1,winterwe0,2020,0.005952381
2,winterwe1,2020,0.005952381
3,winterwe2,2020,0.005952381
4,winterwe3,2020,0.005952381
5,winterwe4,2020,0.005952381
6,winterwe5,2020,0.005952381
7,winterwe6,2020,0.005952381
8,winterwe7,2020,0.005952381
9,winterwe8,2020,0.005952381
10,winterwe9,2020,0.005952381
11,winterwe10,2020,0.005952381
12,winterwe11,2020,0.005952381
13,winterwe12,2020,0.005952381
14,winterwe13,2020,0.005952381
15,winterwe14,2020,0.005952381
16,winterwe15,2020,0.005952381
17,winterwe16,2020,0.005952381
18,winterwe17,2020,0.005952381
19,winterwe18,2020,0.005952381
20,winterwe19,2020,0.005952381
21,winterwe20,2020,0.005952381
22,winterwe21,2020,0.005952381
23,winterwe22,2020,0.005952381
24,winterwe23,2020,0.005952381
25,winterwd0,2020,0.014880952
26,winterwd1,2020,0.014880952
27,winterwd2,2020,0.014880952
28,winterwd3,2020,0.014880952
29,winterwd4,2020,0.014880952
30,winterwd5,2020,0.014880952
31,winterwd6,2020,0.014880952
32,winterwd7,2020,0.014880952
33,winterwd8,2020,0.014880952
34,winterwd9,2020,0.014880952
35,winterwd10,2020,0.014880952
36,winterwd11,2020,0.014880952
37,winterwd12,2020,0.014880952
38,winterwd13,2020,0.014880952
39,winterwd14,2020,0.014880952
40,winterwd15,2020,0.014880952
41,winterwd16,2020,0.014880952
42,winterwd17,2020,0.014880952
43,winterwd18,2020,0.014880952
44,winterwd19,2020,0.014880952
45,winterwd20,2020,0.014880952
46,winterwd21,2020,0.014880952
47,winterwd22,2020,0.014880952
48,winterwd23,2020,0.014880952
49,summerwe0,2020,0.005952381
50,summerwe1,2020,0.005952381
51,summerwe2,2020,0.005952381
52,summerwe3,2020,0.005952381
53,summerwe4,2020,0.005952381
54,summerwe5,2020,0.005952381
55,summerwe6,2020,0.005952381
56,summerwe7,2020,0.005952381
57,summerwe8,2020,0.005952381
58,summerwe9,2020,0.005952381
59,summerwe10,2020,0.005952381
60,summerwe11,2020,0.005952381
61,summerwe12,2020,0.005952381
62,summerwe13,2020,0.005952381
63,summerwe14,2020,0.005952381
64,summerwe15,2020,0.005952381
65,summerwe16,2020,0.005952381
66,summerwe17,2020,0.005952381
67,summerwe18,2020,0.005952381
68,summerwe19,2020,0.005952381
69,summerwe20,2020,0.005952381
70,summerwe21,2020,0.005952381
71,summerwe22,2020,0.005952381
72,summerwe23,2020,0.005952381
73,summerwd0,2020,0.014880952
74,summerwd1,2020,0.014880952
75,summerwd2,2020,0.014880952
76,summerwd3,2020,0.014880952
77,summerwd4,2020,0.014880952
78,summerwd5,2020,0.014880952
79,summerwd6,2020,0.014880952
80,summerwd7,2020,0.014880952
81,summerwd8,2020,0.014880952
82,summerwd9,2020,0.014880952
83,summerwd10,2020,0.014880952
84,summerwd11,2020,0.014880952
85,summerwd12,2020,0.014880952
86,summerwd13,2020,0.014880952
87,summerwd14,2020,0.014880952
88,summerwd15,2020,0.014880952
89,summerwd16,2020,0.014880952
90,summerwd17,2020,0.014880952
91,summerwd18,2020,0.014880952
92,summerwd19,2020,0.014880952
93,summerwd20,2020,0.014880952
94,summerwd21,2020,0.014880952
95,summerwd22,2020,0.014880952
96,summerwd23,2020,0.0148809680000023
97,winterwe0,2021,0.005952381
98,winterwe1,2021,0.005952381
99,winterwe2,2021,0.005952381
100,winterwe3,2021,0.005952381
101,winterwe4,2021,0.005952381
102,winterwe5,2021,0.005952381
103,winterwe6,2021,0.005952381
104,winterwe7,2021,0.005952381
105,winterwe8,2021,0.005952381
106,winterwe9,2021,0.005952381
107,winterwe10,2021,0.005952381
108,winterwe11,2021,0.005952381
109,winterwe12,2021,0.005952381
110,winterwe13,2021,0.005952381
111,winterwe14,2021,0.005952381
112,winterwe15,2021,0.005952381
113,winterwe16,2021,0.005952381
114,winterwe17,2021,0.005952381
115,winterwe18,2021,0.005952381
116,winterwe19,2021,0.005952381
117,winterwe20,2021,0.005952381
118,winterwe21,2021,0.005952381
119,winterwe22,2021,0.005952381
120,winterwe23,2021,0.005952381
121,winterwd0,2021,0.014880952
122,winterwd1,2021,0.014880952
123,winterwd2,2021,0.014880952
124,winterwd3,2021,0.014880952
125,winterwd4,2021,0.014880952
126,winterwd5,2021,0.014880952
127,winterwd6,2021,0.014880952
128,winterwd7,2021,0.014880952
129,winterwd8,2021,0.014880952
130,winterwd9,2021,0.014880952
131,winterwd10,2021,0.014880952
132,winterwd11,2021,0.014880952
133,winterwd12,2021,0.014880952
134,winterwd13,2021,0.014880952
135,winterwd14,2021,0.014880952
136,winterwd15,2021,0.014880952
137,winterwd16,2021,0.014880952
138,winterwd17,2021,0.014880952
139,winterwd18,2021,0.014880952
140,winterwd19,2021,0.014880952
141,winterwd20,2021,0.014880952
142,winterwd21,2021,0.014880952
143,winterwd22,2021,0.014880952
144,winterwd23,2021,0.014880952
145,summerwe0,2021,0.005952381
146,summerwe1,2021,0.005952381
147,summerwe2,2021,0.005952381
