r,t,y,val,solvedtm
1,gas,2020,0.9999999999973844,2022-01-17 17:56:54.870
1,gassupply,2020,2.0000000000261573,2022-01-17 17:56:54.870
1,solar,2020,2.2500000759400227,2022-01-17 17:56:54.870
1,solarsupply,2020,2.250000075940023,2022-01-17 17:56:54.870
1,storage1,2020,1.4999999984922099,2022-01-17 17:56:54.870
1,solar,2021,1.6172638687081012e-9,2022-01-17 17:56:54.870
1,solarsupply,2021,1.6172627681498852e-9,2022-01-17 17:56:54.870
1,solar,2022,3.737639182519263e-13,2022-01-17 17:56:54.870
1,solarsupply,2022,3.7303493627405255e-13,2022-01-17 17:56:54.870
1,storage1,2023,1.71230109363827e-11,2022-01-17 17:56:54.870
1,solar,2026,-4.883801980442474e-12,2022-01-17 17:56:54.870
1,solar,2027,-6.217393556136128e-13,2022-01-17 17:56:54.870
1,solar,2028,-2.5199709940737036e-13,2022-01-17 17:56:54.870
1,solarsupply,2028,-1.887723088955795e-8,2022-01-17 17:56:54.870
