r,t,f,y,val,solvedtm
1,solar,electricity,2026,35.47800065520414,2022-01-17 17:56:54.870
1,solarsupply,solar,2022,70.95600244585856,2022-01-17 17:56:54.870
1,solarsupply,solar,2026,70.95600244585856,2022-01-17 17:56:54.870
1,storage1,electricity,2022,15.767999994401688,2022-01-17 17:56:54.870
1,solarsupply,solar,2027,70.95600244585856,2022-01-17 17:56:54.870
1,gas,electricity,2026,-9.368251454125141e-9,2022-01-17 17:56:54.870
1,solar,electricity,2022,35.478000655281136,2022-01-17 17:56:54.870
1,gas,electricity,2025,1.6819183506093204e-7,2022-01-17 17:56:54.870
1,gas,electricity,2028,1.544420221205687e-8,2022-01-17 17:56:54.870
1,storage1,electricity,2025,15.76800008409624,2022-01-17 17:56:54.870
1,solar,electricity,2025,35.47800065528115,2022-01-17 17:56:54.870
1,solarsupply,solar,2024,70.95600244585856,2022-01-17 17:56:54.870
1,solar,electricity,2023,35.47800065528116,2022-01-17 17:56:54.870
1,storage1,electricity,2024,15.768000102477886,2022-01-17 17:56:54.870
1,gassupply,gas,2020,2.2525714465703808,2022-01-17 17:56:54.870
1,solarsupply,solar,2025,70.95600244585856,2022-01-17 17:56:54.870
1,gas,electricity,2022,2.578863944004549e-7,2022-01-17 17:56:54.870
1,solar,electricity,2029,35.45100006977253,2022-01-17 17:56:54.870
1,gas,electricity,2020,1.1262857232921522,2022-01-17 17:56:54.870
1,storage1,electricity,2028,15.768000236843868,2022-01-17 17:56:54.870
1,gas,electricity,2023,1.1205397746163007e-10,2022-01-17 17:56:54.870
1,gas,electricity,2021,2.5515678156045723e-7,2022-01-17 17:56:54.870
1,solarsupply,solar,2023,70.95600244585856,2022-01-17 17:56:54.870
1,storage1,electricity,2023,15.768000240957006,2022-01-17 17:56:54.870
1,storage1,electricity,2027,15.768000247686459,2022-01-17 17:56:54.870
1,solarsupply,solar,2029,70.95600185054612,2022-01-17 17:56:54.870
1,storage1,electricity,2026,15.768000252275193,2022-01-17 17:56:54.870
1,solar,electricity,2028,35.4780006551904,2022-01-17 17:56:54.870
1,solar,electricity,2027,35.47800065519433,2022-01-17 17:56:54.870
1,solar,electricity,2020,34.162553760549265,2022-01-17 17:56:54.870
1,gas,electricity,2027,-5.780838285305795e-11,2022-01-17 17:56:54.870
1,solarsupply,solar,2028,70.95600185054612,2022-01-17 17:56:54.870
1,storage1,electricity,2021,15.767999997097666,2022-01-17 17:56:54.870
1,storage1,electricity,2029,15.768000252288072,2022-01-17 17:56:54.870
1,storage1,electricity,2020,14.641714528993916,2022-01-17 17:56:54.870
1,solar,electricity,2024,35.47800065528115,2022-01-17 17:56:54.870
1,solarsupply,solar,2021,70.95600244584672,2022-01-17 17:56:54.870
1,solar,electricity,2021,35.47800065527526,2022-01-17 17:56:54.870
1,gas,electricity,2024,1.498101945445122e-7,2022-01-17 17:56:54.870
1,solarsupply,solar,2020,70.95600239484477,2022-01-17 17:56:54.870
