r,l,f,y,val,solvedtm
1,summerwd0,electricity,2020,0.46928570227199995,2022-01-17 17:56:54.870
1,summerwd1,electricity,2020,0.46928570227199995,2022-01-17 17:56:54.870
1,summerwd10,electricity,2020,1.0558928657494127,2022-01-17 17:56:54.870
1,summerwd11,electricity,2020,1.055892865749517,2022-01-17 17:56:54.870
1,summerwd12,electricity,2020,1.055892865749517,2022-01-17 17:56:54.870
1,summerwd13,electricity,2020,1.055892865749517,2022-01-17 17:56:54.870
1,summerwd14,electricity,2020,1.055892865749517,2022-01-17 17:56:54.870
1,summerwd15,electricity,2020,1.055892865749517,2022-01-17 17:56:54.870
1,summerwd16,electricity,2020,1.055892865749517,2022-01-17 17:56:54.870
1,summerwd17,electricity,2020,1.055892865749517,2022-01-17 17:56:54.870
1,summerwd18,electricity,2020,0.46928570227199995,2022-01-17 17:56:54.870
1,summerwd19,electricity,2020,0.46928570227199995,2022-01-17 17:56:54.870
1,summerwd2,electricity,2020,0.46928570227199995,2022-01-17 17:56:54.870
1,summerwd20,electricity,2020,0.46928570227199995,2022-01-17 17:56:54.870
1,summerwd21,electricity,2020,0.46928570227199995,2022-01-17 17:56:54.870
1,summerwd22,electricity,2020,0.46928570227199995,2022-01-17 17:56:54.870
1,summerwd23,electricity,2020,0.4692862068480725,2022-01-17 17:56:54.870
1,summerwd3,electricity,2020,0.46928570227199995,2022-01-17 17:56:54.870
1,summerwd4,electricity,2020,0.46928570227199995,2022-01-17 17:56:54.870
1,summerwd5,electricity,2020,0.46928570227199995,2022-01-17 17:56:54.870
1,summerwd6,electricity,2020,1.055892865749517,2022-01-17 17:56:54.870
1,summerwd7,electricity,2020,1.055892865749517,2022-01-17 17:56:54.870
1,summerwd8,electricity,2020,1.055892865749517,2022-01-17 17:56:54.870
1,summerwd9,electricity,2020,1.055892865749517,2022-01-17 17:56:54.870
1,summerwe0,electricity,2020,0.18771428721600003,2022-01-17 17:56:54.870
1,summerwe1,electricity,2020,0.18771428721600003,2022-01-17 17:56:54.870
1,summerwe10,electricity,2020,0.4223571604909191,2022-01-17 17:56:54.870
1,summerwe11,electricity,2020,0.4223571604909191,2022-01-17 17:56:54.870
1,summerwe12,electricity,2020,0.4223571604909191,2022-01-17 17:56:54.870
1,summerwe13,electricity,2020,0.4223571604909191,2022-01-17 17:56:54.870
1,summerwe14,electricity,2020,0.4223571604909191,2022-01-17 17:56:54.870
1,summerwe15,electricity,2020,0.4223571604909191,2022-01-17 17:56:54.870
1,summerwe16,electricity,2020,0.4223571604909191,2022-01-17 17:56:54.870
1,summerwe17,electricity,2020,0.4223571604909191,2022-01-17 17:56:54.870
1,summerwe18,electricity,2020,0.18771428721600003,2022-01-17 17:56:54.870
1,summerwe19,electricity,2020,0.18771428721600003,2022-01-17 17:56:54.870
1,summerwe2,electricity,2020,0.18771428721600003,2022-01-17 17:56:54.870
1,summerwe20,electricity,2020,0.18771428721600003,2022-01-17 17:56:54.870
1,summerwe21,electricity,2020,0.18771428721600003,2022-01-17 17:56:54.870
1,summerwe22,electricity,2020,0.18771428721600003,2022-01-17 17:56:54.870
1,summerwe23,electricity,2020,0.18771428721600003,2022-01-17 17:56:54.870
1,summerwe3,electricity,2020,0.18771428721600003,2022-01-17 17:56:54.870
1,summerwe4,electricity,2020,0.18771428721600003,2022-01-17 17:56:54.870
1,summerwe5,electricity,2020,0.18771428721600003,2022-01-17 17:56:54.870
1,summerwe6,electricity,2020,0.4223571604909191,2022-01-17 17:56:54.870
1,summerwe7,electricity,2020,0.4223571604909191,2022-01-17 17:56:54.870
1,summerwe8,electricity,2020,0.4223571604909191,2022-01-17 17:56:54.870
1,summerwe9,electricity,2020,0.4223571604909191,2022-01-17 17:56:54.870
1,winterwd0,electricity,2020,0.46928570227199995,2022-01-17 17:56:54.870
1,winterwd1,electricity,2020,0.46928570227199995,2022-01-17 17:56:54.870
1,winterwd10,electricity,2020,1.055892865749567,2022-01-17 17:56:54.870
1,winterwd11,electricity,2020,1.055892865749567,2022-01-17 17:56:54.870
