r,t,y,val,solvedtm
1,gas,2020,0.9999999999973844,2022-01-17 17:56:54.870
1,gassupply,2020,2.0000000000261577,2022-01-17 17:56:54.870
1,solar,2020,2.250000075940023,2022-01-17 17:56:54.870
1,solarsupply,2020,2.2500000759400236,2022-01-17 17:56:54.870
1,storage1,2020,1.49999999849221,2022-01-17 17:56:54.870
1,gas,2021,0.9999999999973846,2022-01-17 17:56:54.870
1,gassupply,2021,2.0000000000261577,2022-01-17 17:56:54.870
1,solar,2021,2.2500000775572864,2022-01-17 17:56:54.870
1,solarsupply,2021,2.2500000775572864,2022-01-17 17:56:54.870
1,storage1,2021,1.49999999849221,2022-01-17 17:56:54.870
1,gas,2022,0.9999999999973846,2022-01-17 17:56:54.870
1,gassupply,2022,2.0000000000261577,2022-01-17 17:56:54.870
1,solar,2022,2.25000007755766,2022-01-17 17:56:54.870
1,solarsupply,2022,2.2500000775576594,2022-01-17 17:56:54.870
1,storage1,2022,1.49999999849221,2022-01-17 17:56:54.870
1,gas,2023,0.9999999999973846,2022-01-17 17:56:54.870
1,gassupply,2023,2.0000000000261577,2022-01-17 17:56:54.870
1,solar,2023,2.25000007755766,2022-01-17 17:56:54.870
1,solarsupply,2023,2.250000077557659,2022-01-17 17:56:54.870
1,storage1,2023,1.4999999985093335,2022-01-17 17:56:54.870
1,gas,2024,0.9999999999973846,2022-01-17 17:56:54.870
1,gassupply,2024,2.0000000000261577,2022-01-17 17:56:54.870
1,solar,2024,2.25000007755766,2022-01-17 17:56:54.870
1,solarsupply,2024,2.250000077557659,2022-01-17 17:56:54.870
1,storage1,2024,1.4999999985093335,2022-01-17 17:56:54.870
1,gas,2025,0.9999999999973846,2022-01-17 17:56:54.870
1,gassupply,2025,2.0000000000261577,2022-01-17 17:56:54.870
1,solar,2025,2.25000007755766,2022-01-17 17:56:54.870
1,solarsupply,2025,2.2500000775576594,2022-01-17 17:56:54.870
1,storage1,2025,1.4999999985093335,2022-01-17 17:56:54.870
1,gas,2026,0.9999999999973846,2022-01-17 17:56:54.870
1,gassupply,2026,2.0000000000261577,2022-01-17 17:56:54.870
1,solar,2026,2.2500000775527766,2022-01-17 17:56:54.870
1,solarsupply,2026,2.250000077557659,2022-01-17 17:56:54.870
1,storage1,2026,1.4999999985093335,2022-01-17 17:56:54.870
1,gas,2027,0.9999999999973846,2022-01-17 17:56:54.870
1,gassupply,2027,2.0000000000261577,2022-01-17 17:56:54.870
1,solar,2027,2.250000077552154,2022-01-17 17:56:54.870
1,solarsupply,2027,2.250000077557659,2022-01-17 17:56:54.870
1,storage1,2027,1.4999999985093335,2022-01-17 17:56:54.870
1,gas,2028,0.9999999999973846,2022-01-17 17:56:54.870
1,gassupply,2028,2.0000000000261577,2022-01-17 17:56:54.870
1,solar,2028,2.2500000775519027,2022-01-17 17:56:54.870
1,solarsupply,2028,2.2500000586804285,2022-01-17 17:56:54.870
1,storage1,2028,1.4999999985093335,2022-01-17 17:56:54.870
1,gas,2029,0.9999999999973846,2022-01-17 17:56:54.870
1,gassupply,2029,2.0000000000261577,2022-01-17 17:56:54.870
1,solar,2029,2.2500000775519027,2022-01-17 17:56:54.870
1,solarsupply,2029,2.2500000586804285,2022-01-17 17:56:54.870
1,storage1,2029,1.4999999985093335,2022-01-17 17:56:54.870
