r,t,f,y,val,solvedtm
1,solar,solar,2022,35.478000655281136,2022-01-17 17:56:54.870
1,gas,gas,2026,-1.8736502908250283e-8,2022-01-17 17:56:54.870
1,solar,solar,2026,35.47800065520418,2022-01-17 17:56:54.870
1,storage1,electricity,2023,19.71000030119627,2022-01-17 17:56:54.870
1,storage1,electricity,2027,19.710000302907545,2022-01-17 17:56:54.870
1,gas,gas,2025,3.363836701218641e-7,2022-01-17 17:56:54.870
1,solar,solar,2027,35.478000655194315,2022-01-17 17:56:54.870
1,solar,solar,2025,35.47800065528115,2022-01-17 17:56:54.870
1,solar,solar,2029,35.45100006977253,2022-01-17 17:56:54.870
1,solar,solar,2020,34.162553760549265,2022-01-17 17:56:54.870
1,storage1,electricity,2026,19.71000029906756,2022-01-17 17:56:54.870
1,storage1,electricity,2022,19.70999999970307,2022-01-17 17:56:54.870
1,solar,solar,2028,35.4780006551904,2022-01-17 17:56:54.870
1,gas,gas,2022,5.157727888009097e-7,2022-01-17 17:56:54.870
1,gas,gas,2028,3.088840442411374e-8,2022-01-17 17:56:54.870
1,gas,gas,2023,2.2410795492326018e-10,2022-01-17 17:56:54.870
1,storage1,electricity,2024,19.71000012139639,2022-01-17 17:56:54.870
1,gas,gas,2024,2.996203890890244e-7,2022-01-17 17:56:54.870
1,storage1,electricity,2028,19.710000296054837,2022-01-17 17:56:54.870
1,solar,solar,2021,35.47800065527527,2022-01-17 17:56:54.870
1,storage1,electricity,2021,19.70999999637216,2022-01-17 17:56:54.870
1,storage1,electricity,2029,19.683000322060593,2022-01-17 17:56:54.870
1,storage1,electricity,2020,18.329143154541267,2022-01-17 17:56:54.870
1,gas,gas,2020,2.252571446584304,2022-01-17 17:56:54.870
1,gas,gas,2021,5.103135631209145e-7,2022-01-17 17:56:54.870
1,storage1,electricity,2025,19.71000012809769,2022-01-17 17:56:54.870
1,gas,gas,2027,-1.1561676570611595e-10,2022-01-17 17:56:54.870
1,solar,solar,2024,35.47800065528115,2022-01-17 17:56:54.870
1,solar,solar,2023,35.47800065528115,2022-01-17 17:56:54.870
